Date,Mach type,Mach,Effect,Machine Area,Description,Resolution
3/23/2015,,H4,,,Loose wire in control box,Repaired wiring
3/23/2015,,I1,,,Over travel alarm,Reboot machine and manually referrence
3/23/2015,,I19,,,Broken air line,Replaced air line
3/23/2015,,I19,,,M0.1 pump active but no oil flow,Drum filter clogged; vacuum cleaned and online
3/23/2015,,I2,,,Chip conveyor INOP,Cleared large nest of chips from conveyor
3/23/2015,,I20,,,Stop switch S120.2 not releasing,Switch replaced
3/23/2015,,I3,,,Main power switch broken; will not shift ON or OFF,Replaced switch
3/23/2015,,I4,,,Door on side B transfer; broken screws,Retapped for new screws
3/23/2015,,I6,,,CPU/PLC alarms after brown out,Reboot machine
3/23/2015,,T105,,,Will not start after power interruption,Reset
3/23/2015,,TK4,,,HP and LP pumps INOP,Replaced HP pump (relief valve arrived 3/24) SA installed 
3/24/2015,,Blast 2,,,Broken door clamp; hook bolt,Replaced with new hook bolt on hand
3/24/2015,,H33,,,St#5 motor inop / humming (brushing unit),Lead screw jammed in spindle / All removed and reset with JPM guidance issued to Jon
3/24/2015,,H34,,,Saw blade spun on hub,Removed and repaired the saw unit pins
3/24/2015,,I4,,,Speed limit @ Spindle A exceeded,"Spindle A hit by loader / Loose piston and V block, fittings replaced; air too fast."
3/25/2015,,H16,,,Broken chain on loader,Broken at master link; New link replaced by Paulo and Steve C
3/25/2015,,H16,,,Encoder coupling broken / Chain was broken and reapired during 1st shift,Replaced encoder coupling on bar loader
3/25/2015,,H20,,,Emergency retract solonoid failure,Replaced solonoid and fuse
3/25/2015,,H26,,,Vogel lube faults,Tightened loose fitting!
3/25/2015,,H3,,,Invert push rod staying forward,Replaced inverter valve
3/25/2015,,NM1,,,Sub spindle Z Axiz ball screw has play Measured to .0015 on 3/24 with no parts out of spec. 3/25 parts out of spec.,New Sub Spindle Z axis ball screw installed with Denis and Jon C / Instructed to grease ball screw travellers every two months
3/25/2015,,T102,,,Main Tool slide Alignment,Removed MTS drum to replace alignment rolls then aligned. Turned over to ML 3/26 0815
3/25/2015,,T91,,,Base Cleaning,Cleaned
3/25/2015,,T97,,,Base Cleaning,Cleaned   
3/26/2015,,H20 ,,,St#11 iBag spindle stuck forward,Replaced entire spindle with unit on the shelf
3/26/2015,,H8,,,ST# 14 slug detector INOP,No Issue; Does not 'check' using fault reset switch. Only when table indexes
3/26/2015,,I18,,,Spindle #6 off / Bar clamp alarms,Replaced cable for clamp pressure sensor
3/26/2015,,I4,,,Air line to part blow off before AIM INOP,Replaced air cylinder and modified plate
3/26/2015,,I6,,,Hydraulic leak Side B,Replaced hydraulic hose / base drained with new collant added
3/26/2015,,T91 ,,,Spline in main pully worn,
3/26/2015,,TK4,,,Spindle not braking at end of cycle,Adjusted belt tension and monitored until 0945; Online
3/27/2015,,H23,,,Saw attachment hub spun,Removed and repaired the saw unit pins
3/27/2015,,H33,,,Spindle contactor overload,Operator corrected; No details
3/27/2015,,I4,,,No teeth on sprocket at return loop of offload conveyor. Track jumping,No available sprocket found. Denis adjusted the track position at the drive sprocket and adjusted belt tension. OK
3/27/2015,,I4,,,Offload conveyor bouncing,Broken screw on support bracket replaced
3/28/2015,,H17,,,Table will not drop after indexing,Replaced prox's and reset all collars on the table location rod. Lyle drained base for access.
3/30/2015,,A76,,,Machine  will not index,Found cross slide locking bolt extended and binding the slide.
3/30/2015,,ANCA,,,Light bar on ANCA INOP,Replaced bulbs
3/30/2015,,H11,,,Brush unit INOP,Turned on the vertical station above the brushing unit. Brush will only fire after vertical fires; Sequenced DUH!; How much downtime Russ?
3/30/2015,,H22,,,CNC at 35 seconds / Hyd filter,Replaced filter
3/30/2015,,H29,,,Spindle moves for D22978 setup,Spindles moved
3/30/2015,,I2,,,Chip  conveyor jam,Cleared by hand crank
3/30/2015,,I2,,,Light out side A,Replaced light bulb
3/30/2015,,SC6,,,Contoler keeps resetting; Reading in code,"Replaced controller x3, CPU, CPU to Contorller cable / Tony plugged in and found bad logic module which was replaced."
3/31/2015,,H17,,,Damaged sensor cable at indexer #11,Replaced
3/31/2015,,H27,,,Saw unit needs to be replaced / 4 saws in 24 hours,Found time cycle too fast for saw / attachment bolts to rack drive loose; GD adjusted TC and tensioned bolts. One bolt is broken in rack assembly and will require Manit when DT permits.
3/31/2015,,H27,,,Bottom Left XD failure,Unit rebuilt by Roland and installed / Spare parts ordered to replace inventory
3/31/2015,,H29,,,St#7 spindle bearings bad,Spindle swapped with 36/100
3/31/2015,,H33,,,Breaker 220 tripping / St#12 motor overheating,Swapped brusjing unit at St#12 with unit removed from H29
3/31/2015,,H33,,,Pendant rotaion lock pin broken,Pin was good / swivel tensioned
3/31/2015,,H33,,,Threading unit control box loose,Repaired
3/31/2015,,H8,,,St#6 milling head shaft wear,Swapped head with unit in queue for H15 CS1001; Unit removed has been serviced
3/31/2015,,I17,,,Iemca loading failures,Checked and charged accumulator
3/31/2015,,I17,,,Rear door hinge loose,Repaired
3/31/2015,,I3,,,False Hyd reading / will not pick up part,Cleaned nest; Online
3/31/2015,,I3,,,Machine won't start,Multiple faults had to be cleared before being able to start
3/31/2015,,SC11,,,Hydraulic Main Fault; will not build pressure,Bad output module; Broken off rack in electrical cabinet and caused loose connection to hydraulic motor
3/31/2015,,Sinico,,,Offload conveyor INOP,Replaced worn key in conveyor motor drive shaft; Parts list DK
3/31/2015,,Sinico,,,Rear collector broken,Tube welded to repair crack and re inserted
4/1/2015,,H1,,,Power pack not at 60bar,Drained powerpack and confirmed no hose leak / replaced filter and filled with new ISO 46 hyd oil
4/1/2015,,H17,,,Indexers #11 and #12 out of position and will not reset,Reset;  ML reporting 1st shift oper knows how to do this!
4/1/2015,,I18,,,Hydraulic valve stack has loud vibration,Hydraulic tank empty! / Filled tank with 35 gallons but finding it having lost 25 gallons in 24 hours on 4/2; searching for Hyd leak
4/1/2015,,Super Tec,,,Drain and clean tank; Do not refill,Drained and cleaned
4/2/2015,,H10,,,Table not indexing,Reset all three table indexing proximity switches; Loose. Also adjusted table indexing speed-Was too fast
4/2/2015,,H3,,,Power pack not building pressure. Stuck at 30 bar,Accumulator checked OK at 30bar / replaced filters /pressure stable at 60bar; dropping to 50bar when indexing
4/2/2015,,I17,,,HS4 disabled; will not rotate,Actuator replaced
4/2/2015,,SC5,,,Rear door lock alarm faults during run cycle,Installed new interlock after receiving taps for elect connect
4/3/2015,,H19,,,St#7 will not complete cycle,Replaced bleeder valve
4/3/2015,,H33,,,Overload contactor at threading unit,Greased lead screw
4/3/2015,,TR#2,,,Service filtermist,Filters replaced
4/6/2015,,Grinder,,,Chevalier grinder in Oper grind room not level,Leveled grinder base
4/6/2015,,H10,,,Units will not fire,Replaced contactor K313 and auxiliary contactor block
4/6/2015,,H23,,,Major Hyd leak from ST#8 valve; Chip breaker valve,Replaced chip breaker valve with rebuilt unit on shelf
4/6/2015,,I2,,,Chip conveyor jammed,Hand cranked to free minor jam and replaced clutch plates
4/6/2015,,I6,,,Base has hydraulic fluid; Drain/Clean,"Drained, Cleaned, 50 Micron bag filter replaced"
4/6/2015,,Mayfran,,,Diaphram pump #1 INOP,Replaced pump 
4/6/2015,,SC3,,,Rot cam switch faults; became Monitor spindle drive fault,LT module replaced but issue remained; Feed motor was seized. Replaced with motor from SC4. Bad motor shipped to Electric Enterprise for repair.
4/6/2015,,T102,,,Clutch will not disengage,Rebuild cluch
4/6/2015,,T103,,,Machine will not engage,Solonoid OK; Clutch adjusted and online
4/7/2015,,H14,,,Brushing requires LH rotation,Replaced brushing unit and lead screw for LH rotation
4/7/2015,,H20,,,St#11 bleeder valve NOK,O-Ring on bleeder replaced. Valve settings on #11 and #12 reset
4/7/2015,,H21,,,Loose wire in pendant; shutting down machine,Repaired 2 broken wires
4/7/2015,,SC11,,,Monitoring Spindle Drive alarm won't clear,Replaced performance module
4/8/2015,,H14,,,Loose fitting on inverter; operator afraid to tighten??,Tensioned fitting
4/8/2015,,H14,,,Inverter push rod will not retract,Pulled Invert valve from H11 (under setup) valve rebuilt
4/8/2015,,H19,,,St# 11 spindle bearings bad,Replaced bearings and returned spindle to H19; Gio
4/8/2015,,I1,,,Chip Stripper jammed against conveyor outlet,Adjusted chip stripper location; operational
4/8/2015,,T104,,,Main slide rolls loose / One spindle with R/O,MTS rolls ok / Collet closing roll replaced with AS14 roll but too small 
4/9/2015,,Dreher,,,Broken Dreher clamp,Repaired clamp
4/9/2015,,H1,,,Pendant clamp broken,Clamp repaired
4/9/2015,,H14,,,Inverter faulting ST2 fault,Swapped inverter valve with H11
4/9/2015,,H20,,,Loader will not insert part into collet,Replaced PLC
4/9/2015,,H32,,,Bar loader chain broken,Repaired
4/9/2015,,I18,,,Track #2 binding; Belt worn,Replaced belt and pulley
4/9/2015,,I2,,,Robot arm out of sequence; dropping parts,Slowed rotator
4/9/2015,,I6,,,Alarm 1681 servo enable traversing,Encoder coupling replaced
4/9/2015,,I6,,,Broken wire on AIM,Soldered wire; Eng required to reboot AIM.
4/9/2015,,SC5,,,Work zone lingt INOP,Light removed (CD)
4/9/2015,,T104,,,Collet closing roll INOP; using AS14 roll,Replaced with Roll and lever from T105
4/10/2015,,H10,,,Vertical and brushing not in sequence,Replaced bad relay
4/10/2015,,H33,,,ST#12 threading unit setting will not allow spindles to start,Adjusted return prox 
4/10/2015,,I2,,,Coolant leak side A top of macjine,Loose fittings tightened
4/10/2015,,Tsch2,,,Alarm 436; C axis soft thermal,Rebuilt Regulating wheel support bearings
4/11/2015,,I18,,,Major hydraulic leak at Sp#6 horseshoe,Replaced horseshoe seals
4/13/2015,,FPI,,,Gates and locking latches need repair,Latches ordered and replaced
4/13/2015,,H33,,,Contactor Overload M20 fault; ,Reset contactor having found nothing wrong with it
4/13/2015,,H33,,,Brushing unit #12 not stopping when moving forward,Adjusted prox position
4/13/2015,,I20,,,Iemca encoder INOP; opers loading manually,Encoder replaced
4/13/2015,,I20,,,Iemca track #3 failing; Channel guides removed ,#3 Track replaced NEW
4/13/2015,,I3,,,Side A door support stripped threading; interlock key moves,Threads OK; Loose key tightened.; Operator should have repaired this
4/13/2015,,Prab,,,No power at Prab,Replaced fuse FB 300
4/13/2015,,TK2,,,Stripped threading on loading robot dog,Threads OK; Replaced screws
4/13/2015,,TK4,,,HP oil intake needs to be extended and fixed in place to prevent intake or air,Extended intake and fixed to prevent movement
4/14/2015,,A76,,,Clamping spool guard broken,Replaced; Operator could have done this!
4/14/2015,,A78,,,Broken chucking shoe,Replaced chucking shoe; Operator could have done this also!
4/14/2015,,H12,,,Exit chute broken,MFG two new exit chutes; one for Gio
4/14/2015,,H33,,,St#12 Motor overload fault,Replaced motor; Need new or rebuild
4/14/2015,,I17,,,Alarm 300504 HS4 Encoder cable issue; Spindle OFF,Replaced encoder on SP #4
4/14/2015,,I3,,,Transport gripper sensor INOP,Cable to gripper sensor replaced
4/14/2015,,Prab,,,Machine shut down; Will not start,Replaced blown fuse in control panel
4/14/2015,,SC4,,,Overload Maindrive Alarm,Main motor replaced
4/14/2015,,T98,,,Counter is double counting,Replaced counter
4/15/2015,,A67,,,High speed change shaft worn,Replaced worn shaft and gear
4/15/2015,,H24 ,,,Threading unit tripped overload protector,Reset breaker
4/15/2015,,H5,,,Bar not feeding faults,Increased feeding pressure 1/4 turn
4/15/2015,,H5,,,CNC reset selector switch broken,Replaced selector switch; Could have been reset using tablet
4/15/2015,,I4,,,Turrets INOP; Ready signal not coming up,Swapped Performance modules; Bad cable found and replaced.
4/15/2015,,TK4,,,High pressure coolant leak / foaming oil,Replaced HP coolant feed line
4/15/2015,,TK4,,,Air in oil,Lowered oil feed line into oil !!
4/15/2015,,Tsch2,,,Shuttle slide will not home,Motor replaced for actuator; Borrowed from D26035 loader
4/16/2015,,H19,,,Loader INOP / Major hydraulic leak,Broken ferule on line that feeds the table / Oil drained from machine and replaced with fresh Nucut Lite
4/16/2015,,H33,,,St#12 brushing unit stuck forward,Over torque switch was loose causing unit to fail as soon as it started. Also loose sensor. All were tensioned and set.
4/16/2015,,H34,,,Brushing unit stuck forward   ,Replaced prox chord and repaired damaged threading on lead screw
4/16/2015,,H5,,,Bottom XD bad bearings,Replaced bottom XD with rebuilt unit; Bad unit to be rebuilt
4/16/2015,,I5,,,Track #2 will not load in Auto,Replaced Track #2 and Track #4
4/16/2015,,TK3,,,No coolant flow; Pump not turning on,No control voltage to pump. Recycled power to machine and pump worked.  ??
4/17/2015,,H18,,,St#4 drill detector INOP,Replaced bad drill detector
4/17/2015,,H27,,,Top XD head St#7 needs to be replaced,Replaced with rebuilt unit; Unit removed submitted for rebuild
4/17/2015,,H34,,,St#5 brushing unit overtime faults,Damaged lead screw repaired; Brass ring
4/17/2015,,I1,,,Offload conveyor INOP,Replaced guides that had fallen from tracking
4/17/2015,,I19,,,Short in cable for sensor to facing travel flag (Iemca),Cable for sensor replaced
4/20/2015,,Dreher,,,Replace plug and connector on new Dreher,Completed    
4/20/2015,,H1,,,Pendant bracket needs to be replaced,Repaired
4/20/2015,,H5,,,St#7 Indexer has no power,Blown fuse replaced
4/20/2015,,H8,,,St#4 not cutting / Squeeling sound,Loose drive pulley tightened; Operator should have taken care of this!!
4/20/2015,,I5,,,Major hyd leak at St#4 Actuator,Replaced seals in #4 horseshoe
4/20/2015,,Sinico,,,Door will not lock,Repaired loose interlock key; Operator should have taken care of this!!
4/20/2015,,Sinico,,,Door lock INOP,Tightened loose screws
4/21/2015,,H17,,,Indexer St#11 does not complete cycle,Reset position
4/21/2015,,H28,,,St#7 flange fault / check accumulator,Accumulator rebuilt
4/21/2015,,I5,,,Main drive ready signal not coming up Axis X31 drive timeout code 7937,Unknown correction 
4/22/2015,,H15,,,Accumulator drops 25 bar,Accumulators checked charged and tagged
4/23/2015,,Durr,,,Basckets not being pulled from drum after wash complete,Added shims to raise basket carrying arm to prevent dragging.
4/23/2015,,EDM 2,,,Some soft keys INOP / .008 wire not threading,Alen Saracevik; Reset controler connections / Ajusted push rod for threading mechanism. Service Report# 186991 MC Machinery Systems 
4/23/2015,,I2,,,Parts picker crashing Side A,Cleaned chips under spring in V block / replaced air solonoid valve
4/23/2015,,I20,,,Rear door interlock mechanism INOP,Repaired by replacing the missing screws
4/23/2015,,Tsch 1,,,Coolant base needs to be cleaned,Cleaned
4/24/2015,,H27,,,Broken exit chute,Walked upstairs to the mezzanine to pick up available exit chute and delivered it to the waiting machine. Operator should have taken care of this!!
4/24/2015,,H28,,,Broken mount for Vogel tank pressure gage,Replaced and wired in inventory Vogel tank
4/24/2015,,I17,,,Iemca track #3 broken / Bar clamping faults Sp#6,Iemca track replaced 4/24;  Actuator replaced
4/24/2015,,Sinico,,,Base needs to be cleaned,Drained and cleaned
4/24/2015,,TK4,,,Air in HP oil,Extended HP intake pipe
4/26/2015,,I2,,,Turret side B will not synchronize,Zero position proximity switch replaced
4/27/2015,,H18,,,Table will not index completely and making noise,Synchronized indexers and table
4/27/2015,,H23,,,St#7 motor running in reverse,Reversed wiring polarity at plug
4/27/2015,,H32,,,Cut off unit won't cycle,No issue; Machine was cycling when tech arrived
4/27/2015,,I1,,,Z axis out of position; PLC not ready,Operator cleared alarms
4/27/2015,,I2,,,I2 turret alignment B side; post 1st shift repairs,Aligned
4/27/2015,,T99,,,Motor doesn't start,Replaced C7 
4/27/2015,,T99,,,Motor won't start / Index hesitates,Replaced contactor C7
4/28/2015,,Blast 2,,,Barrel came off the rollers,Put the drum back on the rollers; Operator should have taken care of this!!
4/28/2015,,H11,,,Chip conveyor jammed,Replaced clutch plates
4/28/2015,,H26,,,Bar feeding too slow; Not enough power to advance the bar,Feeding pressure set too low. Feeding speed only works when there is suitable feeding pressure! Operator should have taken care of this!!
4/28/2015,,H33,,,Bar not feeding  ,Bent bar removed from loader; Operator should have taken care of this!!
4/28/2015,,I1,,,X and Z axis' not under control,Rebooted machine; OPERATOR TOOK CARE OF THIS
4/28/2015,,I19,,,"Alarm K10, K11 / Unallowed contactor",No alarm when Jon got there; Machine online
4/28/2015,,I19,,,Accumulator on Iemca needs to be charged,Can not charge; Replaced with new accumulator 
4/28/2015,,SC7,,,Colant pump INOP,Motor contactor replaced but welded shut when motor was started. Motor removed for rebuild.
4/29/2015,,H22,,,Saw unit will not fire,Emergency retract valve replaced
4/29/2015,,H30,,,Barchange cycling in the middle of a bar,High Speed counter replaced
4/29/2015,,H31,,,stripped saw clamp screw,Removed and replaced screw
4/29/2015,,TK4,,,Turret is stuck on a limit switch,Reset with travel overide select; Referenced and ok
5/1/2015,,H23,,,St#6 brushing unit overload,Replaced motor; Motor removed going to JET Electric
5/1/2015,,SC1 ,,,Feed belt stripped,Belt replaced
5/1/2015,,SC11,,,Front side door interlock failing,Replaced
5/2/2015,,H23,,,Oerator broke allen wrench tip in saw head / Hub pins broken,Replaced saw head with spare unit; Unit removed requires rebuild
5/2/2015,,Sinico,,,ID flushing nozzles hit and bent,Repaired base and straightened nozzles
5/4/2015,,H15,,,No power to pendant,Replaced blown fuse in control panel
5/4/2015,,H3,,,"Check, Charge , and Tag Accumulator",Pressure found at 21-22 bar. Charged to 35 bar and tagged.
5/4/2015,,H30,,,Bar change occuring at the wrong time,Adjusted Prox sensor and loading stop
5/4/2015,,H34,,,Dowel pin on saw unit broken,Removed and replaced broken pin
5/4/2015,,H5,,,No power to hydraulic,Replaced blown fuse in control panel
5/5/2015,,Deco 2,,,Sub Spindle out of alignment,Aligned with JC
5/5/2015,,H4,,,St#6 motor INOP,Replaced motor
5/6/2015,,I5,,,Coolant system overflow,Vacuum pump valve open all the way; Adjusted
5/7/2015,,H11,,,Unable to remove saw clamp screw,Removed saw attachment to drill out screw; Replaced screw and returned to Prod
5/7/2015,,H14,,,Bearings on saw motor bad,Replaced motor; bad bearings on output shaft
5/7/2015,,I17,,,Electrical cabinet cooling fan INOP,Replaced fan
5/7/2015,,I4,,,AIM INOP,Replaced potentiometer
5/8/2015,,H26,,,Vogel alarms,Replaced fitting 
5/11/2015,,FPI,,,Replace 2 broken latches on FPI gate,Completed
5/11/2015,,H11,,,St#16 valve sticking,Rebuilt
5/11/2015,,H11,,,"Check, Charge , and Tag Accumulator",One of the two LP units was at 25bar; charged to 30bar. Others ok
5/11/2015,,H11,,,Bar pusher hanging up,Adjusted loader chain tension
5/11/2015,,H25,,,Broken guide pin on bar pusher / Broken screw,Repaired
5/11/2015,,H3,,,Accumulator gage dropping to 0,Slow leak; Bladder replaced
5/11/2015,,H3,,,Bar loader chain broken,Repaired
5/11/2015,,H8,,,Lube system faults,Replaced controller board 
5/11/2015,,I18,,,Coolant system alarms,Q0.3 tripped; K0.3 contactor welded closed; Replaced
5/11/2015,,I3,,,Hydraulic leak,Side B hydraulic return hose replaced
5/11/2015,,T100,,,Machine will not start,Cycled power and reset all motor starter overload devices
5/11/2015,,T99,,,Machine stops after completing index,Clutch adjustment
5/12/2015,,H11,,,Inverter failing to invert,Replaced inverter valve; swapped with H14
5/12/2015,,H24 ,,,Motor contactor fault for power pack,Replaced
5/12/2015,,I18,,,Lifting pump motor INOP,Serviced pump motor
5/12/2015,,I18,,,Lifting pump motor no good ,Replaced lifting pump motor
5/12/2015,,I19,,,Iemca needs to be charged,Accumulators purchased and installed at a later date
5/12/2015,,I19,,,Iemca loader will not feed or return,Back pressure in hyd line at coupling
5/12/2015,,T97,,,Clean base,Completed
5/12/2015,,TK4,,,Coolant hose leaking,Hose replaced
5/13/2015,,Blast 2,,,Leaking air line,Replaced air line
5/13/2015,,H14,,,"Check, Charge , and Tag Accumulator",Two accumulators low at 20bar; Charged to 30bar
5/13/2015,,H24 ,,,Install tool detector at St#12,Completed
5/13/2015,,H27,,,Clamp screw at St#6 stripped,Replaced stripped clamp screw
5/13/2015,,H27,,,Hydraulic leak / location ????,Tightened fitting at leaking hydraulic line St#8; Operator task!
5/13/2015,,SC5,,,Chiller INOP,Swapped chiller with SC7
5/14/2015,,H11,,,Inverter INOP,Swapped invert valve with H16
5/14/2015,,H2,,,St#10 hydraulic leak,Replace lip seal on spindle
5/14/2015,,H25,,,XD line inside / St#3 outside line  Leaks,Repaired two valves and replaced XD fittings
5/14/2015,,H32,,,Vogel tank leaking at gage fitting,Replaced gage
5/14/2015,,H32,,,Filter tank petcock leaking,Replaced petcock
5/14/2015,,I1,,,Transport collision alarm present; with no collision,Adjusted sensor
5/14/2015,,I18,,,Accumulator on Iemca needs to be charged,New accumulator installed
5/14/2015,,I19,,,Accumulator on Iemca needs to be charged,New accumulator installed
5/14/2015,,SC4,,,No continuity 1st leg Q3 / Needs new breaker,Replaced breaker 
5/15/2015,,H10,,,St#9 motor smoking,Replaced motor
5/15/2015,,H2,,,Spindle contactor overload / Dropped screw on St#9 causing problem,Corrected
5/15/2015,,H3,,,Missing insulation on table down prox cord,Cord replaced
5/15/2015,,H33,,,St#4 Spindle bearings worn? ; OD chatter,Assessment; Bearings loose and should be rebuilt. Unit swapped with shelf spindle
5/15/2015,,I17,,,Iemca Track #6 broken,Track replaced
5/15/2015,,I19,,,High pressure coolant will not shut off,Relay in controller replaced
5/15/2015,,I2,,,Chips in Side A turret,"Turret removed, cleaned, reinstalled, and aligned"
5/16/2015,,h16,,,"Check, Charge , and Tag Accumulator",Low pressure accumulators low; charged to 30 bar / HP OK.
5/16/2015,,I20,,,Broken Rohm head reported,Set of used sliders issued to Norm to rebuild; New Rohm head ordered and in Maint. Inventory
5/18/2015,,H11,,,CNC not HOME;  CNC reset button broken off controller,Replaced switch for operator to HOME CNC
5/18/2015,,H12,,,Check Accumulator,Checked and charged
5/18/2015,,H19,,,Hyd pressure drops 40bar / Inverter INOP,Accumulator at 0bar; Charged to 30bar / Schreader valve replaced
5/18/2015,,H23,,,Broken chain on loader,Repaired
5/18/2015,,H3,,,Brushing unit stuck forward,Backed off unit; turned over to operator
5/18/2015,,I18,,,Coolant system alarms,Replaced sensor on drum filter tank
5/18/2015,,I18,,,Coolant system alarms,Replaced proximty sensor B2 in coolanr tank
5/18/2015,,I3,,,Transport A alarm 'left by itself',Adjusted sensor
5/18/2015,,I3,,,Not reading spindle speed,Performance module replaced
5/18/2015,,RM224,,,Coolant return line leaking,Replaced rubber union
5/19/2015,,A76,,,Base cleaning; caused fire,Completed
5/19/2015,,H12,,,Table indexing too soon. Part striking finish saddle end mill before retraction,Damage to part is not consitant with indexing rotation. Operator (Gio) advised to raise the height of the end ill start position and use the available approach to keep the tool away from the part when the table raises for indexing. Solved!
5/19/2015,,H8,,,Chips in base obstructin coolant flow to pump,Base cleaned / Magnetic chip roll conveyor removed with power disconnected / Fabricated chip box installed; Scrape plate to be designed (MM) and fabricated
5/19/2015,,Hyd Pst,,,Light INOP on presetter,New fixture and rectifier purchased and installed
