token,NE,alias,notes
axis,,,
remove replace,,,
1,X,,
door,I,,
power,,,"UNSURE...POWER OFF? OR POWER ON? OR ""NO POWER"""
break replace,,,
base_clean,R,,
fit,,,"LIKE ""RUN"""
cause,X,,
index,P,,THIS IS NOT ALWAYS ITEM OR ACTION (WILL_NOT_INDEX)
track,I,,
align,S,,
controller,,,
transport,I,,
actuator,I,,
slide,I,,
mis,,,
close,,,"LIKE ""RUN"""
3,X,,
chain,I,,
mount,,,
encoder,I,,
gripper,I,,
hyd,I,hydraulic,
open,,,
add,S,,
nok,,,?
housing,I,,
st#10,I,st_10,
strip,P,,
install,,,
control,,,
30bar,X,,NOT SURE ON THIS ONE
machine_will,,,
4,X,,
tension,S,,
short,P,,
station,I,,
st#12,I,st_12,
out_of,,,
st#11,I,st_11,
system,,,
pendant,I,,
require,,,
broken,P,,
speed,,,COULD BE STOP
correct,S,,
fail,P,broken,
power_pack,I,power_pack,
cover,I,,
cut,,,
need_to,,,
chip_conveyor jam,R,,
trip,P,,
replace break,R,,
do_not,,,
time,,,COULD BE STOP
plate,I,,
roll,,,
drop,P,,
st#3,I,st_3,
plug,I,,
vogel_lube,I,vogel_lube,
drain,S,,
rupture,P,,
guide,I,,
in_auto,,,
airline,I,air_line,
st#6,I,st_6,
tighten,S,,
clamp_screw,I,clamp_screw,
coolant leak,,,
reinstall,S,install,
replace motor,R,,
lp,I,low_pressure,"This is not always the case though because some times they say ""lp"" as the machine has low pressure for an action"
5,X,,
drill_detector,,,
overload,P,,
no_power,,,
module,I,,
at_30bar,,,
50bar,X,,
charge_to 30bar,S,charge,"THIS IS INTERESTING BECAUSE THIS COULD BOTH BE ""CHARGE"" AND EITHER LOW PRESSURE OR HIGH PRESSURE FOR THE PROBLEM ACTION"
check_charge,,,
play,,,
coil,I,,
due_to,,,
st#8,I,st_8,
trip_breaker,R,,
key,I,,
bind,P,,
6,X,,
coolant_flow,,,
adjustment,,,not sure which way this should go
hyd_leak,R,,
ball_screw,,,
limit_switch,I,limit_switch,
nut,I,,
home,I,,
rod,I,,
plug_in,,,
blow_fuse,R,,
st#7,I,st_7,
st#5,I,st_5,
remove clean,,,
bar_feeder,I,bar_feeder,
break screw,,,
reverse,S,,"LIKE ""RUN"""
regulate_wheel,,,
piston,I,,
vogel,I,,
spring,I,,
cut_off,,,
xd_head,I,xd_head,
stick_forward,P,stuck_forward,
replace bear,,,
bear replace,,,
st#4,I,st_4,
fitting,I,,
alarm replace,,,
thread,I,,
noise,P,,
fan,I,,
forward,P,,"ALWAYS ""STUCK FORWARD"""
bar_end,I,bar_end,
sensor_cable,I,sensor_cable,
jpm,P,jam,
bracket,I,,
brake,,,
st#9,,,
flow_control,,,
motor_starter,I,motor_starter,
plc,I,,
and_tag,,,
check accumulator,R,,
fire,,,
multiple,,,
see,X,,
spare,I,,
bar_change,I,,I THINK THIS IS OK
weld,S,,
rack,I,,
tube,I,,
counter,I,,
o_r,,,
shift,,,
relay,,,
that_be,,,
blade,I,,
drill,I,,
shut_off,,,
o_t,,,
unit remove,R,,
block,,,
turn_on,,,
tony,I,person,
to_30bar,,,
work,,,
leak replace,,,
chip_conveyor inop,R,,
replace bad,R,,
chain_break,R,,
excessive,P,,
rotator,I,,
cross_drill,I,cross_drill,
guard,I,,
scraper,I,,
blow,P,,"""BLOWN""?"
gate,,,
replace with_new,R,,
replace fuse,,,
replace leak,R,,
replace hydraulic,R,,
hold,,,
11,X,,
light,I,,
bar_feed,I,bar_feeder,
end,I,,
return_line,I,return_line,
connector,I,,
z_axis,,,
electrical,,,
basket,I,,
offload,I,,
brush_unit stick_forward,,,
can_not,,,
vogel_lube fault,I,vogel_lube_fault,
st,I,st,
steve,I,person,
bearing_wear,,,
bearing,I,,
hour,,,
fall_off,,,
slow,P,,
shut_down,,,
change,S,,
swap_with,,,
chute,I,,
invert,,,PROBABLY INVERTER
stroke,I,,
10,X,,
connect,S,,
tool_detection,,,
iemca_track,I,iemca_track,
prox_cable,I,proximity_cable,
increase,S,,
offload_conveyor,I,,
box,I,,
monitor,,,
o_t fault,,,
confirm,,,
free,,,
valve replace,R,,
oper,,,
jaw,I,,
st2,,,
limit,,,
burn,,,
lead_screw,,,
air leak,,,
control_valve,I,control_valve,
with_spare,,,
contactor_overload,P,contactor_overload,
flow,,,"LIKE ""RUN"""
not_work,,,
miss,P,,
check_charge and_tag,,,
replace seal,R,,
floor,I,,
shelf,I,,
intake,I,intake,
air_line,I,air_line,
brush,I,,
table_index valve,,,
drive_belt,I,drive_belt,
arrive,,,
pusher,I,,
replacement,,,
safety,I,,
replace cable,R,,
instal new,,,
review,,,
charge_to 50bar,R,,
cycle_power,,,
seize,,,
table_down,,,
wiring,I,wire,
thread_unit,I,thread_unit,
spin,P,,"LIKE ""RUN"""
7,X,,
check_charge and_tag accumulator,,,
and_tag accumulator,,,
unable_to,,,
hub,I,,
screen,,,
lube,I,,
side_b turret,,,
channel,I,,
performance_module,,,
signal,,,
level,S,,I THINK THIS SHOULD ALWAYS BE SOLUTION
alignment,,,
strip_screw,R,,
indexer,I,,
selector_switch,I,selector_switch,
drive fault,,,
alex,I,person,
day,,,
seal replace,,,
request_complete,,,
proximity_switch,I,proximity_switch,
rear,I,,
chatter,,,
b,,,
temp,,,
support,,,
bent,P,,
over_travel,,,
part_catcher,,,
bush,,,
pull,S,,
service,,,
vertical,,,
cool,,,
read,,,
electrical_cabinet,I,electrical_cabinet,
pick_up,,,
major_hydraulic,R,,
good,,,
charge accumulator,R,,
jam_clear,R,,
bar_load,I,bar_loader,
hit,,,
interlock,,,
major_hydraulic leak,R,,
norm,,,
ok at_30bar,R,,
tool_holder,,,
mill,,,
at_rear,,,
repeat,R,,"LIKE ""RUN"""
present,,,
function,,,
finish,,,
wrong,P,,
belt replace,R,,
oil leak,R,,
chain_repair,,,
lift,I,,"As in ""a lift"""
water,,,
stock,I,,
hole,I,,
pump motor,I,pump_motor,
pick_off,,,
rotation,P,,"LIKE ""RUN"""
release,S,,
broken_wire,,,
replace valve,R,,
error,,,
face_travel,,,
bear check,,,
program,S,,
vibration,,,
replace sensor,,,
chain_break repair,,,
base_clean request_complete,,,
brush_unit motor,I,brush_unit_motor,
motor contactor,I,motor_contactor,
side_a turret,,,
cable replace,R,,
servo,,,
marcel,I,person,
break repair,,,
cut_off unit,I,cutoff_unit,
slip,P,,
hand,I,,
lp_at,,,
properly,X,,
end_of,,,
vogel_lube fault replace,,,
sub_spindle,,,
p_o,,,
reference,,,
x_axis,,,
roller,I,,
26/80,,,
extend,,,
mill_head,,,
russ,I,person,
pm,,,
link,I,,
couple,,,
flag,I,,
load in_auto,,,
disc,I,,
back_end,,,
ring,I,,
w_o,,,
remove break,,,
wear replace,,,
need,P,,
leak hydraulic,R,,
motor replace,,,
inventory,,,
grind,,,
hot,,,
grind_wheel,,,
jam replace,,,
complete_cycle,R,,
area,I,,
replace o_r,,,
output,I,,
length,,,"LIKE ""RUN"""
break bar_feeder,,,
filter replace,R,,
brush_unit inop,,,
sequence,,,
break bar_feeder chain_repair,,,
bar_feeder chain_repair,,,
gage,I,,
dog,I,,
recess,,,
carrier,,,
pusher_dog,I,push_dog,
button,I,,
rotate,,,
gasket,,,
35/60,,,
contact,,,
air_pressure,I,air_pressure,
drive_shaft,I,drive_shaft,
c_o,,,
xd,,,
at_25bar,,,
remove rebuild,,,
assess,S,,
30bar_hp,,,
no_issue find,,,
hydraulic_fluid,I,hydraulic_fluid,
flange,I,,
b_side,,,
2nd,X,,
disconnect,,,
allow,,,
rail,I,,
overheat,P,,
replace spindle,,,
clear chip,R,,
hydraulic hose,I,hydraulic_hose,
holder,I,,
hsk,,,
hose replace,R,,
machine run,R,,
believe,,,
retain,,,
board,I,,
table_down prox,I,table_down_proximity,
jump,,,
table will_not,,,
12,,,
coolant_pump inop,,,
tray,I,,
drum,I,,
grease,,,
dk,,,
cnc unit,I,cnc,
detection,,,
center,,,
tip,,,
not_ready,,,
condition,,,
hsk_clamp,,,
bar load,I,bar_loader,
hp pump,,,
chip_guard,,,
spindle_bear replace,,,
detector,I,,
cool_fan,,,
feed_pressure,I,feed_pressure,
upper,,,
reduce,S,,
robot,,,
will_not load,,,
inop repair,,,
not_start,,,
replace screw,R,,
axi,,,
purchase,S,,
leak find,,,
turn,,,"LIKE ""RUN"""
stay,,,
clutch_disc,I,clutch_disc,
-pron-_would,,,
need_to replace,,,
not_come,,,
operator_should,,,
replace fit,R,,
step,,,
bus,I,,
iemca replace,,,
hydraulic pressure,I,hydraulic_pressure,
accumulator ok,R,,
table_index o_t,,,
to_50bar,,,
replace damage,,,
clutch adjust,R,,
collet will_not,,,
come,,,
gio,,,
overload_fault,P,overload_fault,
chip_conveyor jam_clear,,,
tech,,,
z1,,,
paddle,I,,
horseshoe,I,,
ejector,,,
tear,P,,
see_attachment,R,,
chip breaker,,,
latch,,,
main spindle,,,
cross_drill head,,,
crash,,,
bulb,,,
control_panel,I,control_panel,
assembly,,,
bladder,I,,
8,X,,
possible,,,
place,X,,
pressure switch,I,pressure_switch,
aim,,,
door_interlock,,,
too_hot,,,
indexing,,,
collision,P,,
1/2_table,R,,
with_rebuilt,,,
will_not start,,,
overtime_fault,I,overtime_fault,
splash,,,
20,X,,
heat,,,
check charge,,,
10bar,X,,
pipe,,,
reg_wheel,,,
production,,,
adjusted,S,adjust,
crack,,,
in_place,,,
breaker_trip,,,
solenoid valve,I,solenoid_valve,
replace blow_fuse,R,,
spindle replace,,,
fall_out,,,
heavy,P,,
spindle_bear wear,,,
hydraulic filter,I,hydraulic_filter,
fee,,,?
replace broken,R,,
cam,,,
at_1/2,,,
anthony,,,
leave,,,
sensor replace,,,
low pressure,,,
request_both,,,
accumulator_check request_both,,,
to_30bar hp,,,
excess,,,
arm,,,
send,,,
spool,,,
gauge,I,,
regulator,,,
knoll,,,
chip breaker valve,,,
break bolt,,,
breaker valve,,,
skimmer,,,
hydraulic line,I,hydraulic_line,
offset,,,
chiller,,,
filtermist,,,
too_tight,,,
vogel_tank,,,
high,,,
tool head,,,
prevent,,,
wheel,I,,
set screw,I,set_screw,
not_fire,,,
prox sensor,I,proximity_sensor,
room,,,
frl,,,
modify,,,
section,I,,
torque,,,
zero,X,,
coolant hose,I,coolant_hose,
stock_clamp,I,stock_clamp,
jose,,,
at_1/2 table,,,
leg,,,
jet,I,,
coolant_pump motor,,,
will_not index,,,
reset breaker,R,,
auto,,,
lead,,,
unit replace,,,
realign,,,
hang,P,,THINK THIS IS OK
second,,,
loose_connection,R,,
remount,S,,
request_lp,,,
will_not load in_auto,,,
bowl,I,,
accumulator_check request_lp,,,
base_ne clean,,,
coolant tank,,,
base_ne,,,
clear alarm,,,
reconnect,,,
replace coolant,,,
st#5_brush,,,
machine fault,,,
stack,I,,
alarm clear,,,
post,I,,Not Sure
denis,I,person,
sync,,,
will_not lock,,,
float_switch,,,
attachment,I,,
hydraulic_leak replace,,,
loose wire,R,,
with_rebuilt unit,,,
pump inop,R,,
reboot,,,
remove repair,,,
lose,P,loose,I think this is loose
setup,S,,I think this is always a solution
clog,P,,
drop_part,P,drop_part,
bar clamp,I,bar_clamp,
arbor,,,
push_dog,I,push_dog,?
skirt,,,
chuck,,,
jc,,,
change_shaft,,,
ss,,,
hose leak,R,,
run in_auto,,,
feed_tube,,,
e_stop,,,
motor pulley,,,
spindle 2,,,
turret lock,,,
bar feed,I,bar_feeder,
variation,,,
flag_sensor,I,flag_sensor,
sit,,,
linear,,,
synchronize,,,
approach,,,
time_cycle,I,time_cycle,I am not one hundred percent sure on this 
mist,,,
hydraulic pump,I,hydraulic_pump,
catch,I,,"probably ""a catch"""
at_rear iemca,,,
inside,,,
will_not clear,,,
reapir,,,
saw_attachment,I,saw_attachment,
will_not fire,,,
fully,,,
offline,,,
loud,,,
check bear,,,
rewire,,,
resolve,S,,
engage,,,
vary,P,,"LIKE ""RUN"""
replace replace,,,
major,P,,
belt break,,,
clip,,,
turn_off,,,
actual,X,,
table_index o_t fault,,,
at_20bar charge_to,,,
hydraulic return_line,I,hydraulic_return_line,
st#2_drill,,,
at_20bar,,,
seat,,,
st#5_brush unit,,,
iemca will_not,,,
at_25bar charge_to,,,
request replace,,,
sp#6,I,sp_6,
motor inop,R,,
machine base,,,
trace,,,
fault reset,,,
replace switch,R,,
nest,,,
washer,,,
replace rupture,R,,
oil line,,,
collector,,,
z,,,
disassemble,,,
low coolant_flow,,,
3rd,,,
activate,,,
x,,,
leak base,,,
open_close,,,
check valve,R,,
nok replace,,,
lock replace,,,
shuttle,,,
retract,S,,
draw,,,
detect,,,
replace solenoid,,,
utility,,,
replace pin,R,,
FALSE,,,
clean reset,,,
replace belt,,,
collet_clos,,,
action,,,
bearing_wear replace,,,
p,,,
impellor,,,
wand,,,
laser,,,
sprocket,I,,
dresser,I,,
25bar_charge,R,,
parameter,I,,
lp accumulator,R,"low_pressure, accumulator",THIS IS R
x3,,,
oil pump,,,
>,X,,
vogel_system,,,
extension,,,
accumulator low,R,,
input,I,,
ground,,,
42737,X,,
attach,S,,
o,X,,
delay,,,
clamp_jaw,I,clamp_jaw,
reject,,,
orifice,I,,
pivot,I,,
remain,,,
push,S,,?
soft,,,
rhe,,,
chamfer_unit,I,chamfer_unit,
replace filter,R,,
station_1,,,
pad,,,
sam,,,
turret_3,,,
coolant line,,,
expose,S,,"LIKE ""RUN"""
replace prox,,,
break weld,,,
feeder_chain,I,feeder_chain,
weld repair,R,,
high_pressure,,,
pp,,,
workzone_light inop,,,
inop break,,,
workzone_light,,,
jam remove,,,
dress,,,
counter inop,,,
with_spare unit,,,
adjust sensor,,,
st#14,,,
manually,,,
machine_will not_start,,,
contactor_overload fault,,,
bleeder_valve,,,
clean reinstall,,,
cutoff_unit,I,cutoff_unit,
loss_of,,,
clean complete,,,
low charge_to,,,
replace airline,R,,
charge_to 30bar_hp,,,
replace wear,,,
brush_unit jam,,,
face,I,,
9,,,
unit inop,R,,
in_auto replace,,,
at_40bar,,,
up_down,,,
control_valve replace,,,
table up_down,,,
setup_complete,,,
repeatedly,,,
tool_detection inop,,,
small,,,
depth,,,
range,,,
mag,I,magnet,Maybe?
replace motor_starter,R,,
fine,,,
spindle swap,,,
face_travel flag,,,
by_steve,,,
break clutch_disc,,,
hydraulic motor,I,hydraulic_motor,
blow_fuse replace,,,
mfg,I,manufacturing,
detector_inop,R,,
bar_loader fault,R,,
provide,,,
chip_conveyor jam replace,,,
hydraulic oil,I,hydraulic_oil,
swap_with spare,S,swap,
valve leak,R,,
top_of,,,
pressure_gauge,,,
under_control,,,
section_of,,,
c,,,
wash,S,,
tighten_loose,,,
replace air,,,
hp coolant,I,high_pressure_coolant,
will_not turn_on,,,
v,,,
prox switch,I,proximity_switch,
proper,,,
colant,,,
shut,S,,"LIKE ""RUN"""
reach,,,
too_low,,,
front_side,,,
correctly,,,
loading,,,
electric,,,
spindle drive,I,spindle_drive,
saw_head,I,saw_head,
jon,,,
iemca will_not load,,,
maint,,,
filter_hous,,,
st#1,,,
table_index fault,,,
adjust clutch,R,,
start replace,,,
break collet,,,
bottom_xd,,,
exit_chute,,,
u,,,
slug,,,
top_xd,,,
cord,,,
ball,I,,
power_supply,I,power_supply,
hard,,,
sludge,,,
grm,,,
prox adjust,R,,
recess unit,,,
collet housing,,,
inverter fault,P,inverter_fault,
exhaust,,,
oal,,,
platform,,,
spindle carrier,,,
shear,,,
fix,,,
hs_counter,I,high_speed_counter,
disabled,,,
milling_head,,,
battery,,,
mm,X,,
receive,,,
manual,,,
voltage,,,
hyd filter,I,hydraulic_filter,
conveyor motor,I,conveyor_motor,
bag,,,
bar_load chain_break,,,
bar_load chain_break repair,,,
hydraulic replace,,,
laser_tool,,,
high_speed,I,high_speed,
chip_conveyor clutch,I,chip_conveyor_clutch,
drift,,,
replace pusher_dog,R,,
ot_fault,,,
replace instal,,,
cool unit,,,
not_respond,,,
fault clear,,,
c_axis,,,
panel,I,,
motor overload,P,motor_overload,
will_not close,,,
coolant pressure,,,
table_drift,R,,
collet close,,,
index replace,,,
lubricate,,,
replace clutch,R,,
minor,,,
press,,,
base_ne clean complete,,,
ready,S,,"LIKE ""RUN"""
selector_switch break,R,,
leave_by -pron-,,,
air tool oil,,,
no_issue report,,,
replace performance_module,,,
jam forward,,,
internal,,,
break wire,,,
leave_by,,,
smog_hog,,,
turret remove,,,
replace vogel,,,
stock_stop,,,
actuator replace,,,
door_lock,,,
front_end,,,
tool oil,,,
air tool,,,
1700,,,
out_of position,,,
lt_module,,,
bear seal,,,
fabricate,,,
fill,,,
randomly,X,,
unit will_not,,,
away,,,
turret will_not,,,
fork_truck,,,
r,,,
table will_not index,,,
rupture_bladder,R,,
elect,,,
cable connection,,,
operator report,,,
25,X,,
random,,,
od,,,
repair leak,,,
access,S,,"LIKE ""RUN"""
at_25bar charge_to 30bar,,,
replace wire,,,
new motor,,,
b_side turret,,,
duct,,,
air hose,,,
inop pump,,,
stem,I,,
accumulator charge,R,,
bolt break,,,
replace table_index,,,
tag,S,,
leak hose,,,
po,I,,"We still need to ask what this is, but i am pretty sure this is an item"
accumulator lp,,,
long,I,,
locate,,,
clear fault,,,
gerry,,,
screw replace,,,
drill_detector inop,,,
safety_switch,,,
wait,,,
clean base,R,,
replace hydraulic hose,R,,
have_take,,,
leak repair,,,
ne replace,,,
25bar,X,,
care_of,,,
not_go,,,
maintenance,,,
have_take care_of,,,
learn_mode,S,learn_mode,
14,X,,
spindle remove,,,
spindle valve,,,
vacuum_pump,,,
operate,,,
failure replace,,,
25bar_charge to_30bar,,,
machine replace,,,
strip remove,,,
chuck_cylinder,,,
spindle will_not,,,
run clip,,,
replace encoder,R,,
will_not return,,,
smoke,,,
consume,,,
pin break,R,,
spindle contactor_overload,,,
ml,,,
entry,I,,
1000,,,
retainer,,,
faulty,P,broken,
gib,,,
chip stripper,I,chip_stripper,
3.2,,,
stripper,I,,
sleeve,,,
rack drive,I,rack_drive,
gearbox,I,,
overtravel,,,
that_be remove,,,
lid,,,
bob,,,
john_pyer,,,
inverter rod,I,inverter_rod,
spec,,,
site_glass,,,
lubrication,,,
adjust rod,,,
part_separator,,,
remnant,X,,
adjuster,,,
robo,,,
h11,I,h_11,
guide bush,,,
exit,I,,I think this is ok
rag,,,
power module,I,power_module,
appear,,,
coolant mis,,,
lift pump,,,
manifold,,,
flow_rate,,,
42936,,,
collector_tube,,,
swivel,,,
head remove,,,
pan,,,
10bar charge_to,,,
week,,,
bar pusher,I,bar_pusher,
leaking,P,leak,
fall_out gear,,,
time_per,,,
reattach,,,
ne new,,,
accumulator replace,,,
too_long,,,
backup,,,
replace mis,,,
lp ok,R,,
switch fault,,,
replace clamp,,,
leak coolant,,,
charge hp,R,,
motor seize,,,
motor failure,,,
life,,,
encoder cable,,,
chamfer,I,,
15bar,,,
guidance,,,
spindle seize,,,
loader inop,R,,
20bar,X,,
base_clean complete,,,
2x,,,
separate,,,
track replace,R,,
issue replace,,,
circuit_breaker,,,
st#2 spindle,,,
noisy,,,
disc clutch,,,
collet replace,,,
contactor replace,,,
inop motor,,,
single,,,
ne rebuild,,,
accumulator drop,R,,
loose replace,,,
pin replace,,,
unload,,,
machine online,,,
hp at_40bar,R,,
removed,S,remove,
at_40bar charge_to,,,
hp at_40bar charge_to,,,
at_40bar charge_to 50bar,,,
st#2 valve,I,st_2_valve,
machine stop,,,
1st_shift,,,
accumulator find,,,
mechanical,,,
no_power replace,,,
unit shelf,,,
leak hydraulic_fluid,R,,
overfill,,,
balance_system,,,
see unit,R,,
leak iemca,,,
24v,I,,
2 break,,,
but_still,,,
alarm will_not,,,
tool slide,,,
balance,,,
replace break clutch_disc,,,
blank,,,
automation,,,
st#6_vertical,,,
operator_should have_take,,,
bar_fe,,,
replace with_spare,,,
hyd_flange,,,
machine_will run,,,
loader valve,I,load_valve,
operator_should have_take care_of,,,
vogel leak,,,
lucifer_valve,I,lucifer_valve,
spray,,,
door will_not,,,
replace sensor_cable,,,
return home,,,
chip turret,,,
spindle motor,,,
wrap,,,
sensor adjust,,,
travel,,,"LIKE ""RUN"""
tool clamp,,,
swap valve,,,
accumulator ok at_30bar,,,
transport_collision,,,
break feeder_chain,,,
replace pump,,,
hp coolant_pump,,,
leak fit,R,,
st#12 motor,,,
hs4,,,
unit rebuild,,,
h32,,,
spindle 1,,,
load in_auto replace,,,
difficult,,,
dress unit,,,
motor fall_off,,,
strip replace,,,
programming,,,
main fault,P,main_fault,
store,,,
reducer,,,
electrical connection,,,
proximity sensor,,,
replace relay,,,
proximity,I,proximity,
leak oil,,,
slip replace,,,
30,X,,
multiple alarm,,,
straighten,S,,
43051,,,
guard break,R,,
remove spindle,,,
insert,,,
inverter guard,I,inverter_guard,
replace motor contactor,R,,
clamp pressure,I,,iS THIS AN ITEM
remove turret,,,
feed_rate,,,
turret chip,,,
36/100,,,
consumption,,,
t,,,
accumulator pressure,,,"Do we want to tag things like this, it would already be tagged by ""accumulator"" and ""pressure"""
likely,,,
st#12 brush_unit,,,
escapement,,,
order instal,,,
st#3_recess,,,
retrieve,,,
adjust screw,,,
spindle rebuild,,,
replace hs_counter,,,
right_side,,,
task,,,
turret remove clean,,,
st#2_drill detector_inop,,,
line replace,R,,
borrow_from,,,
strip remove replace,,,
replace miss,R,,
location,,,
h15,,,
clamp_screw strip,,,
component,,,
ra,,,
allen,,,
motor mount,,,
cut oil,,,
magnet,,,
accumulator_check charge,,,
c_o unit,,,
need new,,,
tumbler,,,
look,,,
trip_breaker replace,,,
pressure fault,,,
operator remove,,,
at_20bar charge_to 30bar,,,
magazine_tray,I,magazine_tray,
drill_detector inop replace,,,
motor run,,,
relocate,S,,
flat,,,
remove clean reinstall,,,
replace contactor,,,
bar stop,I,bar_stop,
clear jam,R,,
hs5,,,
drain clean,,,
stock reel,,,
datum,,,
fette,,,
cup,,,
reel,,,
drawbar,I,,
table rack,I,table_rack,
encoder couple,,,
end play,,,
main coolant,,,
3x,,,
fuse replace,R,,
lock pin,,,
control pivot,I,control_pivot,I think this is OK
drum filter,,,
s,X,,
paper,,,
sp#2,,,
headstock,,,
double,,,
lever,,,
w,,,
pick,,,
bar charge_to,,,
y1,,,
scale,,,
chuck pressure,,,
pick place,,,
feed motor,,,
handle,,,
pack,I,,
invert valve,I,inverter_valve,
support bear,,,
microphone,,,
polarity,,,
cpu,,,
pressure alarm,,,
break pin,,,
smell,,,
y1 axis,,,
gallon,,,
paint,,,
chuck_cylinder pressure,,,
standard,,,
soon,,,
st#3 spindle_bear,,,
detach,,,
vogel fault,,,
shim,,,
sensor cable,I,sensor_cable,
gear clutch adjust,,,
bar_feed chain_break,,,
gear clutch,,,
chip_conveyor jam remove,,,
functional,,,
will_not home,,,
debris,,,
check_charge tag_accumulator,,,
spindle shut_down,,,
tag_accumulator,R,,
bar_feed chain_break repair,,,
thermal,,,
mount bolt,,,
rebuild unit,,,
spinner,,,
25bar_charge to_30bar hp,,,
steel,I,,
leak at_rear,R,,
fault replace vogel,,,
at_rear iemca replace,,,
cast,,,
dylan,,,
brush_unit trip_breaker,,,
motor overload_fault,,,
screw_strip,,,
break feeder_chain repair,,,
feeder_chain repair,,,
inop replace sensor,,,
fault machine,,,
shaft break,,,
guide channel,,,
mach,,,
repair replace,,,
suspect,,,
motor cable,,,
remove replace break,,,
unit unit,,,
cycling,,,
will_not start replace,,,
vogel unit,I,vogel_unit,
mode,,,
need_to replace replace,,,
st#4 valve,,,
leak clean,,,
vent,,,
motor overheat,R,,
cyclinder,,,
sound,,,
rus,,,
replace disc,,,
extract,,,
position sensor,,,
oil replace,,,
pcm,,,
fuse blow,,,
assist,S,,
iemca_track 3,,,
st#2 tool_detection,,,
channel guide,,,
hsk_clamp screw,,,
find replace,,,
swap performance_module,,,
valve adjust,,,
part_receiver,,,
will_not stay,,,
break cable,,,
poor,,,
reset trip_breaker,R,,
non,X,,
selector_switch break replace,,,
cylinder replace,,,
breaker reset,,,
movement,,,
break mount,,,
inventory unit,,,
work hold collet,,,
mechanism,,,
onsite,,,
not_rotate,,,
swarf,,,
chip_conveyor inop replace,,,
-pron- alarm,,,
leave_by -pron- alarm,,,
drive gear,,,
instruct,,,
replace head,,,
actual issue,I,actual_issue,
inop replace motor,,,
replace unit,,,
unit remove rebuild,,,
require rebuild,,,
drill_detector st#2,,,
drive pulley,,,
replace accumulator,R,,
cart,,,
available,,,
grind noise,,,
install chip,,,
accumulator_check lp_at,,,
purchase instal,,,
alarm swap,,,
face_travel flag_sensor,,,
run replace,,,
hold collet,,,
back_end spindle,,,
ms32,I,ms_32,
gear adjust clutch,,,
no_power machine,,,
gear adjust,,,
wrench,,,
motor too_hot,,,
crank,S,,I think this is always a solution
conveyor_jam,R,,
vacuum,I,,
rebuild spindle,,,
50,X,,
sinat,I,,
cabinet,I,,
active,,,
new bar,,,
clutch slip,R,,
cam switch,,,
30bar_hp 50bar,,,
