Hydraulic leak in spindle carrier,Removed and replaced broken bolts in spindle #4 horseshoe,hydraulic/ spindle_carrier/ spindle,leak,remove/ replace,bolt/ spindle/ spindle/horseshoe,,I5,Y,3/18/15,,3/18/15,,Clark,JC,Jon Cousineau,,spindle/ hydraulic/ bolt,,broken/ leak,replace/ remove,,
Sensors on spindle INOP,Sensors and cables replaced with Tony Lobo assist,spindle/ sensor,inoperable,replace,sensor/ cable,,TK4,Y,3/18/15,,3/18/15,,Pete C,DK,Denis Kusiak,,spindle/ sensor/ cable/ person,,inoperable,replace,,
St#13 motor smoking,JPM provided motor / Luis Vargas installed,st_13/ motor,smoke,install,motor,,H11,Y,3/19/15,,3/19/15,,Bruce,JPM/Luis V,John Murray/ Luis,,station/ motor/ person,,,install,13,
Remove Bio-Hyd from PP -replace with ISO 46 hyd oil,JPM swapped.,bio/ hydraulic/ pp,,replace,jpm/ hydraulic/ hydraulic_oil/ iso_46,,H8,N,3/19/15,,3/19/15,,KM,JPM,John Murray,,hydraulic/ oil/ person,,,replace/ remove/ swap,,
Breaker tripping / elect burn smell,Breaker reset -Norm monitoring,breaker/ electrical,trip/ burn,reset,breaker,,I19,Y,3/19/15,,3/19/15,,Bruce,JC,Jon Cousineau,,breaker,trip,trip,reset,,
Stripped screw head in regulating wheel,Removed screw by drilling it out,screw/ regulating_wheel,strip,remove/ drill,screw,,RM227,Y,3/19/15,,3/19/15,,Clark,JC,Jon Cousineau,,screw/ head/ wheel,,strip,remove,regulating,
Conveyor sensor alarm??,Pete Carello corrected,converyor/ sensor,alarm,correct,alarm,,TK3,Y,3/19/15,,3/19/15,,Steve C,Pete C,Pete,,conveyor/ sensor,,alarm,correct,,
HP coolant pressure at 75psi,Bad gauge / Low pressure lines cleaned ou,high_pressure/ coolant/ pressure/ gauge,incorrect/ broken,clean,low_pressure/ line,,TK4,N,3/19/15,,3/20/15,,Steve C,SA,Steve Andreozzi,,coolant/ pressure,,broken,clean,hp/ low,
Saw unit will INOP,Prox wiring replaced,saw_unit/ saw,inoperable,replace,proximity_wire/ wire,,H23,N,3/19/15,,3/21/15,,Russ,JPM,John Murray,,unit/ prox/ saw/ wire,,inoperable,replace,,
Hydraulic leak at St#11 valve plate,Removed valve plate and replaced O-Rings,hydraulic/ st_11/ valve_plate/ valve,leak,remove/ replace,valve_plate/ valve/ o_ring,,H12,N,3/19/15,,4/22/15,,JPG,ML,Marcel Lefebvre,,station/ valve/ hydraulic/ plate/ ring,,leak,replace/ remove,11,
Meauring arm slamming / pneumatic shock absorber?,Air leak in pneumatic actuator repaired.,measuring_arm/ pneumatic/ shock_absorber,leak/ collision,repair,pneumatic/ actuator,,EWAG,Y,3/20/15,,3/20/15,,Clark,DK,Denis Kusiak,,air/ actuator,,leak,repair,,
Stuck in 1/2 table w numerous faults,Brushing unit motor wiring causing issues. Replaced motor starter,table/ brush_unit/ motor/ wire,will_not_move/ fault,replace,motor/ starter,,H11,Y,3/20/15,,3/20/15,,Steve C,JPM,John Murray,,unit/ motor/ table/ brush/ wire/ starter,,fault/ issue/ stuck,replace,,causing
Pendant screen blank / Multiple faults,,pendant_screen,fault,no_action_taken,,,H11,N,3/20/15,,,,Russ,,,,pendant/ screen,,fault,,,multiple
Broken wire on AIM,Repaired wire,aim_wire/ wire/ aim,broken,repair,wire,,I3,Y,3/21/15,,3/21/15,,OPS,DK,Denis Kusiak,,wire,,broken,repair,,
No Power to machine,,machine,no_power,no_action_taken,,,SC5,Y,3/21/15,,3/21/15,,Bruce,DK,Denis Kusiak,,machine,,,,power,
Electrical failure,Tony resolved electrical -no details,electrical,fault,no_action_taken,,,H11,Y,3/23/15,,3/23/15,,OPS,TL,Tony Lobo,,electrical/ person,,failure,,,
Saw will not fire,Prox adjusted,saw,inoperable,adjust,proximity_switch/ switch,,H23,Y,3/23/15,,3/23/15,,Russ,ML,Marcel Lefebvre,,prox/ saw,,,adjust,,
6mm hex clamping screw broken /,Removed and replaced broken clamping screw,clamp/ clamp_screw/ hex,broken,remove/ replace,clamp_screw,,H24,Y,3/23/15,,3/23/15,,Gerry,JC,Jon Cousineau,,screw/ clamp,,broken,replace/ remove,,
Brushing unit adjustment broken,Replaced adjusting threaded rod,brush_unit/ brush_unit_adjustment,broken,replace,adjusting_threaded_rod,,H26,Y,3/23/15,,3/23/15,,Steve C,SA,Steve Andreozzi,,unit/ brush/ rod,,broken,replace/ adjust,,
Threading unit chattering,Replaced motor starter,threading_unit,noise,replace,motor_starter/ motor/ starter,,H28,Y,3/23/15,,3/23/15,,Clark,JPM,John Murray,,unit/ motor/ thread/ starter,,,replace,,
Breaker tripping,Replaced motor at St#11,breaker/ electrical,trip,replace,motor/ st_11,,H29,Y,3/23/15,,3/23/15,,Clark,JPM,John Murray,,station/ motor/ breaker,trip,trip,replace,11,
Brushing unit stuck forward at 1445,Replaced motor contactor M14,brush_unit/ 1445,will_not_move/ stuck_forward,replace,motor/ motor_contactor/ m_14,,H33,Y,3/23/15,,3/23/15,,Steve C,SA,Steve Andreozzi,,unit/ motor/ brush/ contactor,,stuck,replace,forward,
Loose wire in control box,Repaired wiring,wire/ control_box,loose,replace,wire,,H4,Y,3/23/15,,3/23/15,,Clark,JPM,John Murray,,wire/ box,,loose,repair,control,
Broken air line,Replaced air line,pneumatic/ air_line/ hose,broken,replace,air_line,,I19,Y,3/23/15,,3/23/15,,Steve C,JC,Jon Cousineau,,air/ line,,broken,replace,,
M0.1 pump active but no oil flow,Drum filter clogged -vacuum cleaned and online,m_01/ pump/ oil,dirty,clean,drum/ filter,,I19,Y,3/23/15,,3/23/15,,Norm,JC,Jon Cousineau,,pump/ oil/ filter/ flow,,,clean,online,
Chip conveyor INOP,Cleared large nest of chips from conveyor,chip_conveyor/ conveyor,inoperable,clear,chip,,I2,N,3/23/15,,3/23/15,,Steve C,CD,Colin Doherty,,conveyor/ chip,,inoperable,clear,,
Main power switch broken -will not shift ON or OFF,Replaced switch,main/ power/ switch,will_not_move/ broken,replace,switch,,I3,Y,3/23/15,,3/23/15,,Steve C,DK,Denis Kusiak,,,,broken,replace,switch/ power/ main/ shift,
CPU/PLC alarms after brown out,Reboot machine,cpu/ plc/ electrical,alarm/ fault,reset,machine,,I6,Y,3/23/15,,3/23/15,,Steve C,DK,Denis Kusiak,,machine/ plc,,alarm,,,
Over travel alarm,Reboot machine and manually referrence,over-travel,alarm,reset/ reconfigure,machine,,I1,Y,3/23/15,,3/24/15,,Bruce,Norm,Norm Neveux,,machine,,alarm,,travel,
Stop switch S120.2 not releasing,Switch replaced,switch/ s_1202,will_not_move,replace,switch,,I20,N,3/23/15,,3/24/15,,Norm,DK,Denis Kusiak,,,,,replace,switch/ stop,
Door on side B transfer -broken screws,Retapped for new screws,side_b/ door/ screw,broken,retap/ replace,screw,,I4,Y,3/23/15,,3/24/15,,Bruce,DK,Denis Kusiak,,screw/ door,,broken,,new,
Will not start after power interruption,Reset,machine/ power/ electrical,will_not_start/ fault,reset,machine,,T105,Y,3/23/15,,3/24/15,,JPG,DK,Denis Kusiak,,,,,reset,power/ start,
HP and LP pumps INOP,Replaced HP pump (relief valve arrived 3/24) SA installed,hp/ lp/ pump,inoperable,replace/ install,hp/ pump/ sa,,TK4,Y,3/23/15,,3/24/15,,OPS,RF / SA,Roland Fontaine/ Steve Andreozzi,,valve/ pump/ low_pressure,,inoperable,replace/ install,hp,
Broken door clamp -hook bolt,Replaced with new hook bolt on hand,door/ clamp/ hook/ bolt,broken,replace,hook/ bolt,,Blast 2,Y,3/24/15,,3/24/15,,Mike C,RF,Roland Fontaine,,clamp/ door/ bolt,,broken,replace,new,
St#5 motor inop / humming (brushing unit),Lead screw jammed in spindle / All removed and reset with JPM guidance issued to Jon,st_5/ motor/ brush_unit/ lead_screw/ spindle,noise/ inoperable/ jam,remove/ reset,lead_screw/ spindle/ jpm,,H33,Y,3/24/15,,3/24/15,,Clark,JC,Jon Cousineau,,station/ unit/ motor/ spindle/ screw/ brush/ lead/ person,,inoperable/ jam,remove/ reset,,
Saw blade spun on hub,Removed and repaired the saw unit pins,saw_blade/ saw,spun_on_hub,remove/ repair,saw_unit_pin/ saw/ pin,,H34,Y,3/24/15,,3/24/15,,Steve C,JC,Jon Cousineau,,unit/ saw/ hub,,,repair/ remove,,
Speed limit @ Spindle A exceeded,Spindle A hit by loader / Loose piston and V block/ fittings replaced -air too fast.,spindle_a/ loader/ piston v_block,too_fast/ loose,replace,fitting,,I4,Y,3/24/15,,3/25/15,,Bruce,Pete C,Pete,,spindle/ loader/ air/ fitting/ speed/ piston,,loose,replace,limit/ block,
Broken chain on loader,Broken at master link -New link replaced by Paulo and Steve C,chain/ loader/ master_link,broken,replace,master_link,,H16,Y,3/25/15,,3/25/15,,Steve C,Paulo / Steve,Steve Andreozzi,,loader/ chain/ steve,,broken,replace,new,
Encoder coupling broken / Chain was broken and reapired during 1st shift,Replaced encoder coupling on bar loader,encoder_coupling/ coupling/ chain,broken,replace,encoder_coupling/ coupling,,H16,N,3/25/15,,3/25/15,,J Con,SA,Steve Andreozzi,,loader/ chain/ encoder,,broken,replace/ repair,bar/ shift,
Emergency retract solonoid failure,Replaced solonoid and fuse,solenoid,emergency/ retract/ fault,replace,solenoid/ fuse,,H20,Y,3/25/15,,3/25/15,,Steve C,JC,Jon Cousineau,,fuse/ solenoid,,failure,replace,,
Vogel lube faults,Tightened loose fitting!,vogel_lube,fault,tighten,fitting,,H26,Y,3/25/15,,3/25/15,,Steve C,Gerry,Gerry Desmarais,,vogel/ fitting/ lubrication,lubrication,fault/ loose,tighten,,
Invert push rod staying forward,Replaced inverter valve,push_rod/ inverter,will_not_move/ stuck_forward,replace,inverter/ valve,,H3,Y,3/25/15,,3/25/15,,Bruce,Gerry,Gerry Desmarais,,valve/ inverter/ rod,,,replace,forward/ push,
Base Cleaning,Cleaned,base,dirty,clean ,base,,T91,Y,3/25/15,,3/25/15,,Steve C,Brian,Brian,,base,,,clean,,
Base Cleaning,Cleaned,base,dirty,clean ,base,,T97,Y,3/25/15,,3/25/15,,Steve C,Brian,Brian,,base,,,clean,,
Main Tool slide Alignment,Removed MTS drum to replace alignment rolls then aligned. Turned over to ML 3/26 0815,main/ tool/ slide,out_of_adjustment/ location,adjust/ remove/ replace,mts/ drum/ alignment_roll,,T102,Y,3/25/15,,3/26/15,,JPG,DK / JC,Denis Kusiak/ Jon Cousineau,,tool/ slide,,,replace/ remove/ align,main/ turned/ 26,
Sub spindle Z Axiz ball screw has play Measured to .0015 on 3/24 with no parts out of spec. 3/25 parts out of spec.,New Sub Spindle Z axis ball screw installed with Denis and Jon C / Instructed to grease ball screw travellers every two months,spindle/ z_axis/ ball_screw,loose,replace/ install/ lubricate,z_axis/ ball_screw,,NM1,Y,3/25/15,,3/31/15,,Norm,Brian / Gosiger,Brian,,spindle/ screw/ part/ axis/ ball,,,install,new/ play,
ST# 14 slug detector INOP,No Issue -Does not 'check' using fault reset switch. Only when table indexes,st_14/ slug_detector,no_problem_detected,no_action_taken,reset_switch/ table/ index,,H8,N,3/26/15,,3/26/15,,Bob B,ML,Marcel Lefebvre,,station/ table/ index/ detector,,inoperable/ fault/ issue,check/ reset,switch/ 14,
Air line to part blow off before AIM INOP,Replaced air cylinder and modified plate,air_line/ hose/ pneumatic/ part/ aim,inoperable/ blow_off,replace/ modify,air_cylinder/ plate,,I4,Y,3/26/15,,3/26/15,,J Con,SA,Steve Andreozzi,,air/ line/ cylinder/ plate,,inoperable,replace,,
Hydraulic leak Side B,Replaced hydraulic hose / base drained with new collant added,hydraulic/ side_b,leak,replace/ drain/ install,hydraulic/hose/ base/ collant,,I6,Y,3/26/15,,3/26/15,,J Con,CD,Colin Doherty,,hydraulic/ coolant/ base/ hose,drain,leak,replace/ add,new/ drain,
St#11 iBag spindle stuck forward,Replaced entire spindle with unit on the shelf,st_11/ ibag/ spindle,stuck_forward/ will_not_move,replace,spindle,,H20,Y,3/26/15,,3/27/15,,Bruce,JPM,John Murray,,station/ unit/ spindle/ shelf,,stuck,replace,11/ forward,
Spindle #6 off / Bar clamp alarms,Replaced cable for clamp pressure sensor,spindle_6/ bar/ clamp,alarm,replace,cable/ clamp/ pressure/ sensor,,I18,N,3/26/15,,3/27/15,,Bruce,JC,Jon Cousineau,,spindle/ sensor/ pressure/ cable/ clamp,,alarm,replace,bar,
Spindle not braking at end of cycle,Adjusted belt tension and monitored until 0945 -Online,spindle/ cycle,will_not_brake,adjust,belt/ belt_tension,,TK4,N,3/26/15,,3/27/15,,Bruce,DK,Denis Kusiak,,spindle/ belt,,,adjust,end/ cycle/ online,
Spline in main pully worn,,spline/ main/ pulley,worn,no_action_taken,,,T91,Y,3/26/15,,,,Steve C,JC / DK,Jon Cousineau/ Denis Kusiak,,pulley,,worn,,main,
Saw attachment hub spun,Removed and repaired the saw unit pins,saw_blade/ saw,spun_on_hub,remove/ repair,saw_unit_pin/ saw/ pin,,H23,Y,3/27/15,,3/27/15,,Steve C,SA,Steve Andreozzi,,unit/ saw/ attachment/ hub,,,repair/ remove,,
Spindle contactor overload,Operator corrected -No details,spindle/ spindle_contactor,overload,correct,spindle,,H33,Y,3/27/15,,3/27/15,,J Con,SA,Steve Andreozzi,,spindle/ operator/ contactor,,overload,correct,,
No teeth on sprocket at return loop of offload conveyor. Track jumping,No available sprocket found. Denis adjusted the track position at the drive sprocket and adjusted belt tension. OK,sprocket/ track,no_teeth/ movement,adjust/ tension,track/ belt,,I4,Y,3/27/15,,3/27/15,,Pete C,PC / SC /DK,Denis Kusiak/ Pete Carello/ Sinat Check,,conveyor/ belt/ position/ offload,,,adjust/ ok,drive/ track/ returning,
Offload conveyor bouncing,Broken screw on support bracket replaced,offload_conveyor/ conveyor/ screw,movement/ broken,replace/ reset/ drain,screw/ support_bracket,,I4,N,3/27/15,,3/27/15,,J Con,SA,Steve Andreozzi,,conveyor/ screw/ offload/ bracket,,broken,replace,,
Table will not drop after indexing,Replaced prox's and reset all collars on the table location rod. Lyle drained base for access.,table,will_not_drop/ after_indexing,replace/ reset/ drain,proximity_sensor/ sensor/ collar/ table_location_rod/ base,,H17,Y,3/28/15,,3/30/15,,Steve C,ML,Marcel Lefebvre,,table/ base/ prox/ index/ rod,drain,drop,replace/ reset,drain,
Machine will not index,Found cross slide locking bolt extended and binding the slide.,machine/ cross_slide/ bolt/ slide,will_not_index/ fault/ bind,correct,machine,,A76,Y,3/30/15,,3/30/15,,Jose,Jose,Jose Hernandez,,machine/ index/ slide/ bolt/ cross,,,,locking,
Light bar on ANCA INOP,Replaced bulbs,light/ anca,inoperable,replace,light,,ANCA,N,3/30/15,,3/30/15,,ER,SA,Steve Andreozzi,,light,,inoperable,replace,bar,
Brush unit INOP,Turned on the vertical station above the brushing unit. Brush will only fire after vertical fires -Sequenced DUH! -How much downtime Russ?,brush_unit/ brush/ unit,inoperable,need_guy/ reset,vertical_station/ brush_unit,,H11,Y,3/30/15,,3/30/15,,Russ,Gerry,Gerry Desmarais,,station/ unit/ brush/ person/ vertical,,inoperable,,turned,
CNC at 35 seconds / Hyd filter,Replaced filter,hydraulic/ CNC/ filter,out_of_adjustment/ timing,replace,filter,,H22,N,3/30/15,,3/30/15,,JPG,CD,Colin Doherty,,hydraulic/ filter/ cnc,,,replace,35,
Spindle moves for D22978 setup,Spindles moved,spindle/ d_22978,move_request,move,spindle,,H29,Y,3/30/15,,3/30/15,,Clark,RF / JPG,Roland Fontaine/ Jerry,,spindle,,,setup,move,
Chip conveyor jam,Cleared by hand crank,chip_conveyor/ conveyor,jam,clear/ hand_crank/ crank,chip_conveyer,,I2,N,3/30/15,,3/30/15,,Pete C,CD,Colin Doherty,,conveyor/ chip,,jam,clear,,
Light out side A,Replaced light bulb,light_bulb/ side_a,broken,replace,light_bulb,,I2,N,3/30/15,,3/30/15,,Bruce,CD,Colin Doherty,,light,,,replace,,
Contoler keeps resetting -Reading in code,Replaced controller x3/ CPU/ CPU to Contorller cable / Tony plugged in and found bad logic module which was replaced.,controller/ logic_module,fault/ will_not_start,replace,logic_module/ controller/ cpu/ cable,,SC6,Y,3/30/15,,4/6/15,,Steve C,DK / TL,Denis Kusiak/ Tony Lobo,,cable/ module/ controller/ person,,broken,replace/ reset,,
Damaged sensor cable at indexer #11,Replaced,sensor/ cable/ index_11,damage,replace,cable,,H17,N,3/31/15,,3/31/15,,J Con,SA,Steve Andreozzi,,sensor/ cable/ index,,broken,replace,11,
Saw unit needs to be replaced / 4 saws in 24 hours,Found time cycle too fast for saw / attachment bolts to rack drive loose -GD adjusted TC and tensioned bolts. One bolt is broken in rack assembly and will require Manit when DT permits.,saw_unit/ cycle_time/ attachment_bolt/ rack_drive/ bolt/ rack_assembly,short_life/ worn,adjust/ no_action_taken/ need_guy,cycle_time/ bolt,,H27,Y,3/31/15,,3/31/15,,Alex,Gerry,Gerry Desmarais,,unit/ saw/ bolt/ attachment/ rack,tension,broken/ loose,replace/ adjust/ need/ tension/ require,drive/ cycle/ time,hours
St#7 spindle bearings bad,Spindle swapped with 36/100,st_7/ spindle/ bearing,worn,replace,spindle,,H29,N,3/31/15,,3/31/15,,JPG,JPM,John Murray,,station/ spindle/ bearing,,broken,swap,,
Breaker 220 tripping / St#12 motor overheating,Swapped brusjing unit at St#12 with unit removed from H29,breaker/ electrical/ motor/ st_11,trip/ hot,replace/ remove,brush_unit/ st_12/ h_29,,H33,Y,3/31/15,,3/31/15,,Bruce,JC,Jon Cousineau,,station/ unit/ motor/ breaker,trip,trip,remove/ swap,12,
Iemca loading failures,Checked and charged accumulator,lemca,loading_failure/ failure,check/ charge,accumulator,,I17,N,3/31/15,,3/31/15,,J Con,SA,Steve Andreozzi,,accumulator/ iemca,,failure,check/ charge,load,
False Hyd reading / will not pick up part,Cleaned nest -Online,hydraulic/ sensor/ part,fault/ will_not_pickup,clean,nest,,I3,Y,3/31/15,,3/31/15,,J Con,SA,Steve Andreozzi,,hydraulic,,,clean,online/ pick,
