ReqID,ReqDate,ReqTime,MachID,MachLoc,Manufacturer,machtype,Model,machcustomID,machdesc,ProblemID,ProblemDesc,Prob_cause,PreventPMchk,chk_instructions,Repstatus,Repdate,Reptime,Reptech,RepRes
10,11/27/06,1:53:33 AM,82,AMP Area,CHA INDUSTRIES,SPUTTERING,SSC-1000,P0046,CHA#2,10,DEAD - DOA ,Power Failure,FALSE,,Under Repair,11/26/06,7:15 PM,Tech 1,Re-Started Machine 
11,11/27/06,3:09:53 PM,11,Dicing Cell,K&S,DICING SAW,982,P0016,SAW #4,11,High pitched whine when spindl,Flushed Spindle,FALSE,,,,,,
12,11/29/06,7:25:45 AM,85,Closing Cell,Other,Other,Other,Other,Other,12,"Plasma treater 9132, door will",Low nitrogen pressure,FALSE,,,,,,
13,11/29/06,9:31:52 AM,86,Dicing Cell,Disco,Dicing saw,DAD321,P0081,Saw #1,13,Water leaked into Spindle inve,,FALSE,,,,,,
14,11/29/06,2:00:23 PM,45,3D Area,Welch Vacuum Inc.,vacuum pump,WELCH 1402,P0112,vacuum pump,14,Filters on the fill system nee,Replaced Filter,FALSE,,,,,,
15,11/29/06,2:01:51 PM,72,3D Area,Welch Vacuum Inc.,vacuum pump,WELCH 1402,P0139,vacuum pump,15,Filter on the fill system need,Replaced Filter,FALSE,,,,,,
16,11/29/06,2:03:12 PM,78,3D Area,Welch Vacuum Inc.,vacuum pump,WELCH 1402,P0145,vacuum pump,16,Filter in the fill system need,Replaced Filter,FALSE,,,,,,
17,11/30/06,3:22:18 AM,85,AMP Area,Other,Other,Other,Other,Other,17,CASCADE HEAT TANKS OVERHEATING,close,FALSE,,Under Repair,12/5/06,4:54:49 PM,Tech 2,close
18,11/30/06,10:41:07 PM,85,AMP Area,Other,Other,Other,Other,Other,18,strobe light on the Schenck ba,,FALSE,,,,,,
19,12/1/06,12:24:00 AM,85,Wiring Cell,Other,Other,Other,Other,Other,19,tab bonder #1 blew a tip and a,close,FALSE,,Under Repair,12/5/06,4:57:44 PM,Tech 8,close
20,12/1/06,4:08:11 AM,82,AMP Area,CHA INDUSTRIES,SPUTTERING,SSC-1000,P0046,CHA#2,20,CHA#2 MDX - Power failure. ,close,FALSE,,Under Repair,12/5/06,4:59:11 PM,Tech 8,Tech 8
21,12/1/06,1:57:54 PM,85,Closing Cell,Other,Other,Other,Other,Other,21,The plasma treater in the clos,,FALSE,,,,,,
22,12/1/06,4:07:13 PM,85,Dicing Cell,Other,Other,Other,Other,Other,22,"SAW # 6 
Will not hold cut de",,FALSE,,,,,,
23,12/3/06,11:57:56 PM,81,AMP Area,CHA INDUSTRIES,SPUTTERING,SSC-1000,P0045,CHA#1,23,CHA#1 D.O.A at start of shift.,,FALSE,,,,,,
24,12/3/06,11:58:52 PM,82,AMP Area,CHA INDUSTRIES,SPUTTERING,SSC-1000,P0046,CHA#2,24,CHA # 2 D.O.A. at the start of,,FALSE,,,,,,
25,12/3/06,11:59:53 PM,25,AMP Area,SAMSCO,EVAPORATION SYSTEM,,P0031,EVAPORATION SYSTEM,25,Evaporator Faults Out and Shut,"System working, has foaming issue not related to s",FALSE,,,,,,
26,12/4/06,2:32:09 AM,85,AMP Area,Other,Other,Other,Other,Other,26,P0049 Sputtering Omni Cleaner.,,FALSE,,,,,,
27,12/4/06,12:18:23 PM,85,Attaching Cell,Other,Other,Other,Other,Other,27,Need new argon gun. It is now ,,FALSE,,,,,,
28,12/4/06,12:19:08 PM,85,Attaching Cell,Other,Other,Other,Other,Other,28,Need new argon gun. It is now ,,FALSE,,,,,,
29,12/4/06,12:19:39 PM,85,Attaching Cell,Other,Other,Other,Other,Other,29,Need new argon gun. It is now ,,FALSE,,,,,,
30,12/4/06,12:19:46 PM,85,Attaching Cell,Other,Other,Other,Other,Other,30,Need new argon gun. It is now ,,FALSE,,,,,,
31,12/4/06,12:20:48 PM,85,Attaching Cell,Other,Other,Other,Other,Other,31,Need new argon gun. It is now ,,FALSE,,,,,,
32,12/5/06,10:40:18 AM,1,AMP Area,ALCHEMIST,ALCHEMIST FUME HOOD,DFH-3,P0001,FH #1,32,This is a Test,brent dropped,FALSE,,Under Repair,12/5/06,10:46:27 AM,Tech 2,yes
33,12/5/06,10:42:02 AM,6,AMP Area,ALCHEMIST,ALCHEMIST FUME HOOD,DFH3-SP,P0007,FH#7,33,This is a Test,Brent drop it,FALSE,,Parts Ordered,12/5/06,10:44:55 AM,Tech 8,parts arrived
34,12/5/06,1:27:07 PM,85,Closing Cell,Other,Other,Other,Other,Other,34,Plasma treater 9408 won't draw,test,FALSE,,Under Repair,12/6/06,11:49:39 AM,Tech 2,close
35,12/5/06,1:29:37 PM,27,AMP Area,K&S,DICING SAW,986-6,P0033,DICING SAW #14,35,test,test,FALSE,,Under Repair,12/6/06,11:49:23 AM,Tech 2,close
36,12/5/06,1:29:49 PM,85,Closing Cell,Other,Other,Other,Other,Other,36,Plasma treater won't draw pres,bad door gasket,FALSE,,,,,,
37,12/5/06,1:37:14 PM,85,AMP Area,Other,Other,Other,Other,Other,37,Test,test,FALSE,,Under Repair,12/6/06,11:49:12 AM,Tech 2,close
38,12/5/06,1:38:46 PM,85,AMP Area,Other,Other,Other,Other,Other,38,My Test,test,FALSE,,Under Repair,12/6/06,11:49:06 AM,Tech 2,close
39,12/5/06,4:41:47 PM,85,AMP Area,Other,Other,Other,Other,Other,39,This is a test. Ignore this re,test,FALSE,,Under Repair,12/6/06,11:48:53 AM,Tech 2,close
40,12/5/06,4:56:49 PM,85,AMP Area,Other,Other,Other,Other,Other,40,Another test.  Please ignore.,test,FALSE,,Under Repair,12/6/06,11:48:43 AM,Tech 2,close
41,12/6/06,8:01:27 AM,85,AMP Area,Other,Other,Other,Other,Other,41,backgrinder water is coming ou,,FALSE,,,,,,
42,12/6/06,10:21:58 AM,85,Dicing Cell,Other,Other,Other,Other,Other,42,p0085 needs added to list. cut,Tooling build up caused issue. Reported to PE. Req,FALSE,,Under Repair,1/22/07,1:29:17 PM,Tech 2,Tooling issue not an equipment issue.
43,12/6/06,10:52:39 AM,85,Engineering Lab,Other,Other,Other,Other,Other,43,Test,test,FALSE,,Under Repair,12/6/06,11:48:30 AM,Tech 2,close
44,12/6/06,7:41:47 PM,85,Dicing Cell,Other,Other,Other,Other,Other,44,The pressure guage on pump # 3,Changed Gauge,FALSE,,,,,,
45,12/6/06,10:24:42 PM,85,Closing Cell,Other,Other,Other,Other,Other,45,Plasma Treater #9132 is not wo,Switch with another Plasma Treater.,TRUE,"Possible, RF cable tied up for 5S may have caused ",,,,,
46,12/6/06,11:57:52 PM,85,Closing Cell,Other,Other,Other,Other,Other,46,Plasma treater #9408 in the ba,close,FALSE,,,,,,
47,12/7/06,8:33:36 AM,85,Dicing Cell,Other,Other,Other,Other,Other,47,sump backcheck valve not worki,Replace Check-Valve,FALSE,,Under Repair,1/9/07,9:26:55 PM,Tech 1,Replace Check-Valve
48,12/7/06,8:37:16 AM,85,Dicing Cell,Other,Other,Other,Other,Other,48,Recirc gauge leakingin water r,Changed Gauge,FALSE,,,,,,
49,12/7/06,10:10:31 AM,85,AMP Area,Other,Other,Other,Other,Other,49,Air Flow not good on ends. Uni,Replaced Blower Motor,FALSE,,Under Repair,12/13/06,05:06PM,Tech 9,Will install new motor 12/14/06
49,12/7/06,10:10:31 AM,85,AMP Area,Other,Other,Other,Other,Other,49,Air Flow not good on ends. Uni,Replaced Blower Motor,FALSE,,Under Repair,1/5/07,,Tech 1,Replaced Blower Motor
49,12/7/06,10:10:31 AM,85,AMP Area,Other,Other,Other,Other,Other,49,Air Flow not good on ends. Uni,Replaced Blower Motor,FALSE,,Under Repair,1/5/07,4:53:32 AM,Tech 1,Replaced Blower Motor
50,12/9/06,6:53:18 AM,85,Closing Cell,Other,Other,Other,Other,Other,50,vacuum will not draw down on P,They got it working,FALSE,,,,,,
51,12/9/06,7:12:41 AM,85,Closing Cell,Other,Other,Other,Other,Other,51,plasma #9410 won't draw vacuum,They got it working,FALSE,,,,,,
52,12/11/06,9:07:10 PM,11,Dicing Cell,K&S,DICING SAW,982,P0016,SAW #4,52,Water Leak getting worse as th,Repaired Water Gun,FALSE,,,,,,
53,12/11/06,9:42:16 PM,85,AMP Area,Other,Other,Other,Other,Other,53,"Brady Label Maker, Inspection ",We don't work on Brady Label Makers,FALSE,,,,,,
54,12/11/06,10:06:25 PM,83,Dicing Cell,DISCO,DICING SAW,DAD3220,P0083,DICING SAW,54,Non-contact sensor error,Replaced Hoses / Sludge,FALSE,,,,,,
55,12/12/06,1:52:05 AM,85,Doppler Area,Other,Other,Other,Other,Other,55,Doppler Oven # 4. Re-circ not ,Replaced Circulation Fan,FALSE,,,,,,
56,12/12/06,4:20:56 PM,85,Wiring Cell,Other,Other,Other,Other,Other,56,Waterfall is ramping above tem,Replaced Solid Stae Relays,FALSE,,,,,,
57,12/12/06,8:58:05 PM,81,AMP Area,CHA INDUSTRIES,SPUTTERING,SSC-1000,P0045,CHA#1,57,The IG2 is not functioning pro,Target Oring leaking water,TRUE,Replace target orings periodically when changing t,,,,,
58,12/12/06,9:56:10 PM,85,AMP Area,Other,Other,Other,Other,Other,58,Fiber optic cord keep coming a,,FALSE,,Under Repair,2/14/07,11:19:35 AM,Tech 2,
59,12/13/06,5:26:46 AM,85,AMP Area,Other,Other,Other,Other,Other,59,Dremel tool shaft need fix's ,Production resolved this. It was a production issu,FALSE,,Under Repair,2/8/07,,Tech 1,Production resolved this. It was a production issu
60,12/13/06,11:10:55 AM,85,Dicing Cell,Other,Other,Other,Other,Other,60,"have to clean sensor
everytim",Sludge / Clean & Flush Lines,FALSE,,,,,,
61,12/13/06,12:12:21 PM,85,MOPS,Other,Other,Other,Other,Other,61,Dessicant seal is Leaking. I h,Replaced Latch,FALSE,,Under Repair,2/8/07,,Tech 1,Replaced Latch
62,12/13/06,12:14:23 PM,30,AMP Area,K&S,DICING SAW,982,P0037,SAW #11,62,Appears to be a broken monitor,Faulty power supply,FALSE,,,,,,
63,12/13/06,1:51:12 PM,8,AMP Area,ALCHEMIST,ALCHEMIST FUME HOOD,DFH3-SP,P0009,FH #9,63,Water leaking from spindle,Clogged water holes in cutting wheel ,FALSE,,,,,,
64,12/14/06,2:54:11 PM,75,Test Cell,Alcatel,vacuum pump,2063CP+,P0142,vacuum pump,64,Burning smell from pump,bad pump,FALSE,,Under Repair,12/14/06,2:45,Tech 2,Replace vacuum pump
65,12/14/06,11:49:19 PM,81,AMP Area,CHA INDUSTRIES,SPUTTERING,SSC-1000,P0045,CHA#1,65,Low Argon,Low Argon,FALSE,,Under Repair,12/15/06,,Tech 1,Replace Tank
66,12/14/06,11:49:47 PM,82,AMP Area,CHA INDUSTRIES,SPUTTERING,SSC-1000,P0046,CHA#2,66,Low Argon,Low Argon,FALSE,,Under Repair,12/15/06,,Tech 1,Replace Tank
67,12/15/06,2:14:15 PM,39,TEE area,Welch Vacuum Inc.,vacuum pump,WELCH 1402,P0106,vacuum pump,67,What appears to be pump oil is,,FALSE,,Under Repair,12/15/06,14:45,Tech 2,
68,12/18/06,7:25:19 AM,85,AMP Area,Other,Other,Other,Other,Other,68,Plasma treater ID 9097 has low,,FALSE,,Under Repair,12/18/06,8:12:06 AM,Tech 2,
69,12/18/06,3:03:28 PM,85,AMP Area,Other,Other,Other,Other,Other,69,Need replacement water floats ,install 2nd switch,FALSE,,Under Repair,12/21/06,1:33:16 PM,Tech 2,
70,12/18/06,11:17:46 PM,83,Dicing Cell,DISCO,DICING SAW,DAD3220,P0083,DICING SAW,71,Not accepting the adjustment # on height,Replace Spindle,FALSE,,Under Repair,12/18/06,,Tech 1,Polish Prism
71,12/19/06,1:24:04 PM,11,Dicing Cell,K&S,DICING SAW,982,P0016,SAW #4,74,"spindle sound,s like a jet taking off.",DrainLines & Flow Meter Severly Clogged Was Also C,FALSE,,Under Repair,12/22/06,,Tech 1,Replace Spindle
72,12/19/06,9:59:07 PM,82,AMP Area,CHA INDUSTRIES,SPUTTERING,SSC-1000,P0046,CHA#2,75,Error code is Ion Source or Beam Off.  ,worn air cylinders,FALSE,,Under Repair,12/19/06,,Tech 1,"Lisea Changed the Neutralizer Filament,but continu"
73,12/19/06,10:36:32 PM,85,AMP Area,Other,Other,Other,Other,Other,76,P0050 Omni Cleaner dryer is not working,Replace Pump,FALSE,,Under Repair,1/3/07,1:39:23 PM,Tech 8,This air dryer is not to be used for this activity any more. he procedure was revised to reflect this.
74,12/20/06,1:12:17 AM,84,AMP Area,DISCO,DICING SAW,DAD361,P0082,SAW #2,77,No cutting water ,Repair Solenoid Valve,FALSE,,Under Repair,12/20/06,4:04:25 AM,Tech 1,DrainLines & Flow Meter Severly Clogged Was Also Clogged
74,12/20/06,1:12:17 AM,84,AMP Area,DISCO,DICING SAW,DAD361,P0082,SAW #2,77,No cutting water ,Repair Solenoid Valve,FALSE,,Under Repair,12/20/06,4:04:38 AM,Tech 1,DrainLines & Flow Meter Severly Clogged Was Also Clogged
75,12/20/06,8:33:29 AM,85,MOPS,Other,Other,Other,Other,Other,78,Tabbonder C in mops area has a failure code,power failure,FALSE,,Parts Ordered,12/21/06,7:59:11 AM,Tech 2,
76,12/20/06,7:11:10 PM,85,3D Area,Other,Other,Other,Other,Other,81,Pump #6 was making terrible noise since power outage,Added Oil,FALSE,,Under Repair,12/21/06,2:58:28 AM,Tech 1,Replace Pump
77,12/20/06,7:12:03 PM,85,AMP Area,Other,Other,Other,Other,Other,82,Back Grinder 50015504 is down since power outage,,FALSE,,Under Repair,12/21/06,,Tech 1,Repair Solenoid Valve
78,12/20/06,9:44:38 PM,85,AMP Area,Other,Other,Other,Other,Other,85,mixer in ML casting won't mix at 95rpm,test,FALSE,,Under Repair,12/21/06,1:33:05 PM,Tech 2,
79,12/21/06,3:37:44 AM,83,AMP Area,DISCO,DICING SAW,DAD3220,P0083,DICING SAW,86,No cutting water ,Dirty water,TRUE,dirty water,Under Repair,12/21/06,,Tech 1,Clean & Flush Lines / Flow Meter
80,12/21/06,8:17:16 AM,85,Stackbond Cell,Other,Other,Other,Other,Other,87,Plasma treater #9312 needs a new gasket on the door.,,FALSE,,Under Repair,12/21/06,1:32:43 PM,Tech 2,
81,12/21/06,11:43:50 AM,85,Closing Cell,Other,Other,Other,Other,Other,88,low oil level in plasma treater pump #9409,Clean & Flush Water Jets,FALSE,,Under Repair,12/22/06,,Tech 1,Added Oil
82,12/21/06,4:11:13 PM,85,Attaching Cell,Other,Other,Other,Other,Other,89,sequence tester. switches are intermittent.,Clean & Flush Water Lines & Flow Meter,FALSE,,Under Repair,12/21/06,4:20:36 PM,Tech 8,Not a PM Issue
83,1/2/07,12:06:20 AM,85,Dicing Cell,Other,Other,Other,Other,Other,92,"P0044 is not in the system, Problem dead water. ",Repair Latch,FALSE,,Under Repair,1/1/07,,Tech 1,Replace Tank & Filters
84,1/2/07,12:07:12 AM,85,Dicing Cell,Other,Other,Other,Other,Other,93, Re-Circ Pump Not Working For Dicing Cell,Install Holder,FALSE,,Under Repair,1/1/07,,Tech 1,Replace Pump
85,1/2/07,8:26:52 AM,85,Test Cell,Other,Other,Other,Other,Other,97,test,Duplicate Request,FALSE,,Under Repair,1/2/07,8:27:34 AM,Tech 8,test
86,1/2/07,8:33:49 AM,85,AMP Area,Other,Other,Other,Other,Other,98,Making a noise in the spindle when running and also smells hot,Duplicate Request,FALSE,,Under Repair,2/14/07,11:19:43 AM,Tech 2,
86,1/2/07,8:33:49 AM,85,AMP Area,Other,Other,Other,Other,Other,98,Making a noise in the spindle when running and also smells hot,Duplicate Request,FALSE,,Under Repair,1/2/07,12:04:06 PM,Tech 2,Awaiting Disco response.
86,1/2/07,8:33:49 AM,85,AMP Area,Other,Other,Other,Other,Other,98,Making a noise in the spindle when running and also smells hot,Duplicate Request,FALSE,,Under Repair,1/3/07,2:39:59 PM,Tech 2,"The spindle P/N is NCPZ-010019-00 and the cost is $34,700. Currently the
availability is showing none in the US or Japan which generally means an
eight week delivery time."
87,1/2/07,1:07:24 PM,83,Dicing Cell,DISCO,DICING SAW,DAD3220,P0083,DICING SAW,99,chuck table will not lock into place.,Duplicate Request,FALSE,,Under Repair,1/3/07,9:57:32 AM,Tech 2,
88,1/2/07,11:10:07 PM,84,Dicing Cell,DISCO,DICING SAW,DAD361,P0082,SAW #2,100,Non-contact Sensor Error,Duplicate Request,FALSE,,Under Repair,,1/3/07,Tech 1,Clean & Flush Water Jets
89,1/3/07,3:25:35 AM,85,Dicing Cell,Other,Other,Other,Other,Other,101,P0084- Cut flow water error ,Repair Hose,FALSE,,Under Repair,1/3/07,,Tech 1,Clean & Flush Water Lines & Flow Meter
90,1/3/07,9:38:10 AM,87,Dicing Cell,Disco,Dicing Saw,DAD3220,P0085,Dicing Saw,102,crashes into sensor during height,Replace Cathode Filament,FALSE,,Under Repair,1/3/07,2:43:40 PM,Tech 2,
91,1/3/07,10:02:40 AM,83,Dicing Cell,DISCO,DICING SAW,DAD3220,P0083,DICING SAW,103,Chuck will not lock,Replaced Spindle Brushes,FALSE,,,,,,
92,1/3/07,3:36:29 PM,85,AMP Area,Other,Other,Other,Other,Other,106,Nitrogen cabinet has broken handle.  Needs to be repaired soon,Replaced solenoid,FALSE,,Under Repair,1/4/07,,Tech 1,Repair Latch
93,1/3/07,3:44:48 PM,85,AMP Area,Other,Other,Other,Other,Other,109,Nitrogen gun needs holder on Teresa Hoars bench on right side,Clogged Water Lines,FALSE,,Under Repair,1/4/07,,Tech 1,Install Holder
94,1/4/07,7:18:01 AM,85,Dicing Cell,Other,Other,Other,Other,Other,114,Y-Axis unrecoverable error,Repaired corroded wiring associated with the elect,FALSE,,Under Repair,2/14/07,11:19:51 AM,Tech 2,
95,1/4/07,7:19:29 AM,85,Dicing Cell,Other,Other,Other,Other,Other,115,saw p0084 had to put under other not in list Y-Axis unrecoverable error,Problem went away?,FALSE,,Under Repair,1/18/07,8:29:20 AM,Tech 8,Placed in database
96,1/4/07,1:14:33 PM,85,AMP Area,Other,Other,Other,Other,Other,116,"laminar flow hood back by the omni cleaner, the fan shuts off and is noisy ",Duplicate Request,FALSE,,Under Repair,1/8/07,,Tech 1,Replace Blower Motor
96,1/4/07,1:14:33 PM,85,AMP Area,Other,Other,Other,Other,Other,116,"laminar flow hood back by the omni cleaner, the fan shuts off and is noisy ",Duplicate Request,FALSE,,Under Repair,1/8/07,4:12:51 AM,Tech 1,Replace Blower Motor
97,1/5/07,8:15:26 PM,85,AMP Area,Other,Other,Other,Other,Other,120,,Program was set up to run the Ion Mill on layer ,FALSE,,Under Repair,1/8/07,,Tech 1,Duplicate Request
98,1/5/07,8:19:06 PM,85,AMP Area,Other,Other,Other,Other,Other,127,,,FALSE,,Under Repair,1/8/07,10:34:08 PM,Tech 1,Duplicate Request
99,1/5/07,8:19:22 PM,85,AMP Area,Other,Other,Other,Other,Other,128,,,FALSE,,Under Repair,1/8/07,10:34:18 PM,Tech 1,Duplicate Request
100,1/5/07,8:19:42 PM,85,Attaching Cell,Other,Other,Other,Other,Other,129,,Replaced Chiller,FALSE,,Under Repair,1/8/07,10:31:01 PM,Tech 1,Duplicate Request
100,1/5/07,8:19:42 PM,85,Attaching Cell,Other,Other,Other,Other,Other,129,,Replaced Chiller,FALSE,,Under Repair,1/8/07,,Tech 1,Duplicate Request
101,1/5/07,8:20:13 PM,85,Attaching Cell,Other,Other,Other,Other,Other,130,Air hose leaking,Installations Complete,FALSE,,Under Repair,1/8/07,,Tech 1,Repair Hose
102,1/5/07,10:23:48 PM,81,AMP Area,CHA INDUSTRIES,SPUTTERING,SSC-1000,P0045,CHA#1,131,Ion Source or Beam is Off.  ,faulty power supply,FALSE,,Under Repair,1/8/07,,Tech 1,Replace Cathode Filament
103,1/8/07,2:18:11 PM,84,Dicing Cell,DISCO,DICING SAW,DAD361,P0082,SAW #2,132,spindle continuity error,Flush Water Lines / Clean Jets,FALSE,,Under Repair,1/9/07,,Tech 1,Replaced Spindle Brushes
104,1/9/07,1:13:34 AM,83,AMP Area,DISCO,DICING SAW,DAD3220,P0083,DICING SAW,133,No contact senor error ,Flush Water Lines / Clean Jets,FALSE,,Under Repair,1/9/07,,Tech 1,Unclog Water Jets
105,1/9/07,1:18:32 AM,119,AMP Area,Branson,Omni Cleaner ,,P0050,Omni Cleaner ,134,Low water level,Replace Broken Pipe Fittings,FALSE,,Under Repair,1/9/07,,Tech 1,Replaced Float Valve
106,1/9/07,4:39:27 AM,82,AMP Area,CHA INDUSTRIES,SPUTTERING,SSC-1000,P0046,CHA#2,135,Air Leak,Saw Clogged Up With Sludge,FALSE,,Under Repair,1/9/07,,Tech 1,Replace Solenoid Valve
107,1/9/07,11:46:46 AM,117,MOPS,Interlab,Rinse Station,MRS/1855,P0075,Rinse Station 004,136,DI level to low. Change bottles???,flatness .0007,FALSE,,Under Repair,1/10/07,7:15:16 AM,Tech 2,change di bottle
107,1/9/07,11:46:46 AM,117,MOPS,Interlab,Rinse Station,MRS/1855,P0075,Rinse Station 004,136,DI level to low. Change bottles???,flatness .0007,FALSE,,Under Repair,1/10/07,7:14:54 AM,Tech 2,
107,1/9/07,11:46:46 AM,117,MOPS,Interlab,Rinse Station,MRS/1855,P0075,Rinse Station 004,136,DI level to low. Change bottles???,flatness .0007,FALSE,,Under Repair,1/10/07,7:14:43 AM,Tech 2,
107,1/9/07,11:46:46 AM,117,MOPS,Interlab,Rinse Station,MRS/1855,P0075,Rinse Station 004,136,DI level to low. Change bottles???,flatness .0007,FALSE,,Under Repair,1/9/07,12:01pm,Tech 2,change tank
108,1/10/07,4:03:09 AM,30,AMP Area,K&S,DICING SAW,982,P0037,SAW #11,138,Scope light will not adjust. ,di bottle needs changed,FALSE,,Under Repair,1/10/07,,Tech 1,Replace Scope Light
109,1/11/07,2:45:43 AM,86,Dicing Cell,Disco,Dicing saw,DAD321,P0081,Saw #1,139,No cut water ,Clogged Drain,FALSE,,Under Repair,1/11/07,,Tech 1,Clogged Water Lines
110,1/11/07,7:57:17 PM,85,Closing Cell,Other,Other,Other,Other,Other,140,Oil needed in vac pump for Plasma treater 9408,short in canister,FALSE,,Under Repair,1/12/07,,Tech 1,Added Oil
111,1/15/07,2:27:10 AM,85,Dicing Cell,Other,Other,Other,Other,Other,142,Sump pump not working. ,back pressure valve open too far.  ,FALSE,,Under Repair,1/15/07,,Tech 1,Replaced two broken float switches
112,1/15/07,10:04:48 AM,114,Wiring Cell,Interlab,Rinse Station,MRS/1855,P0042,Rinse Station 001,143,Watefall station is not coming up to temp and cycle light is lit. ,back pressure valve open too far.  ,FALSE,,Parts Ordered,1/15/07,2:21:26 PM,Tech 2,Needs solid state relays.  OK to use as long as temp does not exceed 60C.
113,1/15/07,5:43:51 PM,85,MOPS,Other,Other,Other,Other,Other,144,Tab bonder C is not working at all since replacement parts installed.,back pressure valve open too far.  ,FALSE,,Under Repair,1/16/07,8:19:58 AM,Tech 2,Switch in manual mode
114,1/15/07,7:30:25 PM,83,Dicing Cell,DISCO,DICING SAW,DAD3220,P0083,DICING SAW,146,Saw must be reboot to keep table from free wheeling,Changed Y Axis Lead Screw Oil,FALSE,,Under Repair,1/17/07,,Tech 1,Repaired corroded wiring associated with the elect
114,1/15/07,7:30:25 PM,83,Dicing Cell,DISCO,DICING SAW,DAD3220,P0083,DICING SAW,146,Saw must be reboot to keep table from free wheeling,Changed Y Axis Lead Screw Oil,FALSE,,Under Repair,1/17/07,,Tech 1,Repaired corroded wiring associated with the elect
115,1/16/07,8:27:33 PM,85,Dicing Cell,Other,Other,Other,Other,Other,147,"Chiller is down for saws 5,6,7,8",Clean & Flush Water Lines / Sludge,FALSE,,Under Repair,1/17/07,3:04:43 AM,Tech 1,Could be an intermittent heat exchanger. The problem went away. Will keep this request open for now and monitor the system.
116,1/16/07,8:41:32 PM,85,Dicing Cell,Other,Other,Other,Other,Other,148,Chiller is down for saws 5-8,cables loose,FALSE,,Under Repair,1/17/07,,Tech 1,Duplicate Request
117,1/16/07,8:54:51 PM,85,Dicing Cell,Other,Other,Other,Other,Other,149,"Chiller for saws 5,6,7,and 8 is not working.",add oil,FALSE,,Under Repair,1/17/07,,Tech 1,Duplicate Request
118,1/17/07,6:11:26 PM,85,Dicing Cell,Other,Other,Other,Other,Other,150,Vacuum pump is running very hot. Water room seems o be very warm also.,sensor out of adjustment,FALSE,,Under Repair,1/18/07,,Tech 1,"Checked sytem,everything ok."
119,1/17/07,6:52:40 PM,83,Dicing Cell,DISCO,DICING SAW,DAD3220,P0083,DICING SAW,151,Blade water level will not hold on saw for extended periods of time,Clean & Flush Water Lines / Sludge,FALSE,,Under Repair,1/18/07,,Tech 1,"Replaced several water lines.
Re-built water mete"
120,1/18/07,12:01:15 AM,82,AMP Area,CHA INDUSTRIES,SPUTTERING,SSC-1000,P0046,CHA#2,152,MKS flow control channel # 3 setpoint not being made.,Clean & Flush Water Lines / Sludge,FALSE,,Under Repair,1/18/07,,Tech 1,Program was set up to run the Ion Mill on layer 
121,1/18/07,12:42:48 PM,85,Closing Cell,Other,Other,Other,Other,Other,155,Oil needs added to plasma treater #9408,High clorox concentration used for flush,TRUE,Lower clorox concentration or eliminate clorox,Under Repair,1/19/07,1:33:31 AM,Tech 1,Checked Oil / Level OK
