token,NE,alias,notes
point,I,,"as in ""toward something""?"
acu-8,I,acu-8,
bldg_101,I,101,
226,I,,
proper,X,,
section,I,,
restore,S,,
panel,I,,
corridor,,,
231,I,,
seal,I,,
mix_box,I,,
location,,,
bldg_225,I,225,
supply_fan,I,,
pipe,I,,
inside,,,
hvac_shop,I,,
sheet_metal,I,,
provide,,,
too_high,P,too_high,
condition,,,
room_temperature very_hot in_bldg,P,too_hot,
explain,,,
increase,S,,
calibration,S,calibrate,
not_run,P,will_not_run,
too_hot room,P,too_hot,
need replace,P,bad,
water_detector_alarm,P,,
not_able_to,P,will_not,
pressure,I,,
room_temperature very_cold_in_bldg,P,too_cold,
okay_at_this_time,P,no_problem_detected,
find no_issue,P,no_problem_detected,
replacement,S,replace,
appear,X,,
no_adjustment_make,P,no_problem_detected,
a_c_not_work,P,broken,
temp_ok,P,no_problem_detected,
too_cold rm,P,too_cold,
no_problem,P,no_problem_detected,
diffuser,I,,
employee,,,
unit_down_for,P,offline,
very_warm,P,too_hot,
plate,,,
main,I,,
present,,,
too_cold room,P,too_cold,
find water,P,leak,
now_aok,P,no_problem_detected,
too_hot action_take,P,too_hot,
will_not,P,,
thank,X,,
check unit,P,check_request,
down_for_pm,P,down_pm,
room cold,P,too_cold,
okay_now,P,no_problem_detected,
lab too_hot,P,too_hot,
chiller,,,
power,U,,
measure,,,
possible,,,
too_cold action_take,P,too_cold,
preheat,,,
no_problem find,P,no_problem_detected,
start_equipment,S,start,
confirm_operation,S,confirm,
basement,I,,
turn_over_to pipe_shop,S,,not sure what to do here
cut,,,
setting,,,
turn_off,S,,
check system,S,check,
check_room_temperature-,S,check,
fuse,I,,
start system,S,start,
align,S,,
restart_unit,S,restart,
replace induction_unit_valve,S,replace,
vacuum_up_water,S,vacuum,
sound,,,
wire,I,,
calibrate_thermostat,S,calibrate,
action_take check,S,check,
trip,,,
cooling,,,
fine,,,
replace_control_valve,S,replace,
temp_back_to,S,reset,
replace bearing,,,
reset_vfd_fault,S,reset,
condensate,I,,
insulation,I,,
73*f,I,73F,
request check_room_temperature-,S,chek,
calibrate_stat room,S,calibrate,
lower_discharge,S,lower,
humid,,,
near,,,
week,,,
off_line_start,S,start,
b,X,,
request check hot,S,check,
check hot,,,
set_point check_operation,S,check,
check water_leak,S,check,
replace actuator,S,replace,
acu-11,I,air_conditioning_unit,
loose,P,,
board,,,
try,,,
air_balance,S,balance,
alarm_clear,S,clear,
follow,,,
action_take calibrate_stat,S,calibrate,
adjust_set_point stat,S,adjust,
30_action_take,X,,
with_new,X,,
leave,,,
as_well,X,,
10,X,,
test,I,,
hot temperature,P,hot,
add,,,
replace grad,S,replace,
relate_to,X,,
stat set,S,set,
7,X,,
8,X,,
poc_john,#N/A,,
grill,I,,
speak_to,#N/A,,How should we handle this? 
speak_with_customer,#N/A,,
come_in,#N/A,,
speak_to customer,#N/A,,
verify_proper_operation poc,#N/A,,
replace controller,S,replace,
stop,,,
check room_temperature too_cold,#N/A,,"what do we do here? this is both ""check"" and ""too_cold"""
clog,P,,
position,,,
blow_cold,#N/A,,
help,,,
talk_to,#N/A,,
oeg,,,
dry,U,,
-PRON- office,#N/A,,
box,,,
check room_temperature too_hot,#N/A,,"what do we do here? this is both ""check"" and ""too_hot"""
unit run,,,
design,,,
m_slip,#N/A,,
today,,,
blow_cold air,#N/A,,
work_properly,#N/A,,
blow_hot,#N/A,,
light,,,
74*f,X,74F,
vfd,I,variable_fan_drive,
metal,,,
action,X,,
find room,#N/A,,
poc_herb,#N/A,,
per_customer,#N/A,,
automation,,,
poc_ed,#N/A,,
desk,,,
maintenance,,,
unable_to,#N/A,,
poc_robert,#N/A,,
gfp,,,
investigate,S,inspect,
temp_back_to normal,#N/A,,
noisy,P,noise,
blow_hot air,#N/A,,
poc_mark,#N/A,,
for_proper_operation,#N/A,,
system find,#N/A,,
power_bump,#N/A,,
hold,,,
with_customer,#N/A,,
cooler,,,
cfm,I,cfm,Cubic feet/min?
talk_to customer,#N/A,,
phone_message,#N/A,,
poc_dan,#N/A,,
receive_freeze_stat,#N/A,,
can_not,#N/A,,
will_need,#N/A,,
failure,P,,
trailer,,,
off_start,#N/A,,
like,X,,
-PRON-_say_that,#N/A,,
valv_off,#N/A,,
find -PRON-,#N/A,,
noise_come_from,#N/A,,
hole,,,
poc_michelle,#N/A,,
for_70*f,#N/A,,
receive_water_detection_acu,#N/A,,
thank_-PRON-,#N/A,,
explain customer,#N/A,,
turn_over_to electric_shop,#N/A,,
ne_heat,#N/A,,
register,,,
f,X,,
furniture,,,
72_degree,#N/A,,
hood_fan,#N/A,,
yesterday,X,,
address,,,
replace sensor,S,replace,
water find,#N/A,,
tighten,S,,
secured,S,,
hood_not_work,#N/A,,
ddc_group,#N/A,,
20,#N/A,,
inform,S,,
after_power_bump,#N/A,,
too_cold calibrate_stat,#N/A,,
poc_david,#N/A,,
make_adjustment_to set_point check_operation,#N/A,,
action_take adjust,#N/A,,
cabinet,I,,
large,,,
back_up,#N/A,,
support,,,
start fan,,,
hot temperature in_bldg,#N/A,,
replace_diaphram,#N/A,,
follow_up,#N/A,,
fcu,,,
level,,,
high_humidity,#N/A,,
1ea,,,
reset_vfd,#N/A,,
morning,,,
hv-4,,,
check_operation ok,#N/A,,
too_cold calibrate_stat check_operation,#N/A,,
freeze_stat_alarm reset_alarm,#N/A,,
off_restart,#N/A,,
set_for_70*f,#N/A,,
unit find,#N/A,,
find space,#N/A,,
actiontaken,,,
duplicate_ms,#N/A,,
find space_temperature,#N/A,,
reset start,#N/A,,
mech_room,#N/A,,
water floor,#N/A,,
c,X,,
extremely_hot,#N/A,,
adjust temperature,R,,
speak_with,#N/A,,
68*f,I,68F,
set_up,#N/A,,
bear,,,
adjust discharge,R,adjust,
action_take_make_adjustment thermostat,#N/A,,
pan,,,
hwc,,,
x,X,,
look_at,#N/A,,
allow,,,
program,,,
80_degree,#N/A,,
replace_re_heat valve actuator,#N/A,,
find stat,#N/A,,
hot air,,,line 341 in orignal file: AC BLOWING HOT AIR B316
find room_temperature,#N/A,,
per_request,#N/A,,
check hot temperature,R,check,
hot room,P,hot,
material,,,
control_air_line,#N/A,,
maintain,,,
reduce,,,
affect,,,
shut_off,#N/A,,
proper_operation,#N/A,,
bad_bearing,#N/A,,
.,#N/A,,
resent_code_to,#N/A,,
concern,,,
reading,,,
a_wing,#N/A,,
bldg_220,#N/A,,
booster_fan,#N/A,,
air temperature,I,air_temperature,
window_unit,#N/A,,
defuser,I,,
find fan,#N/A,,
send,,,
loud,P,,
too_hot calibrate_stat,#N/A,,
calibrate_stat poc,#N/A,,
stairwell,I,,
lobby,I,,
hot_deck,#N/A,,
year,,,
leak valve,,,
closed,U,,
list,,,
reset_alarm start,#N/A,,
ceiling_leak,#N/A,,
temp room,#N/A,,
so_-PRON-,#N/A,,
11,#N/A,,
refrigerator,I,,
determine,,,
mechanical_room,#N/A,,
not_work_properly,#N/A,,
meeting,,,
cold temperature,P,cold,
temp space,#N/A,,
call_shop,#N/A,,
vacuum,S,,
drop,,,
vibration,I,,
old,P,,
318,#N/A,,
electrical,,,
drip,P,,
note,,,
charge,,,
217,#N/A,,
find system,#N/A,,
poc_richard,#N/A,,
bldg_221,#N/A,,
fumehood_fail,#N/A,,
plant,,,
no_air_flow in_bldg,#N/A,,
replace_diaphragms,#N/A,,
room too_warm,#N/A,,
small,,,
218,#N/A,,
not_cool,#N/A,,
check for_proper_operation,#N/A,,
indicate,,,
fault,P,,
unit restart,S,restart,
repair replace,#N/A,,
verify_calibration_of,#N/A,,
replace_broken_belt,#N/A,,
wait,,,
adjust_stat poc,#N/A,,
2ea,X,,
check no_air_flow,#N/A,,
poc_steve,#N/A,,
check area,P,check_request,
restroom,I,,
command,,,
cap,I,,
shut_down,#N/A,,
too_low,#N/A,,
operator,,,
health_unit,#N/A,,
if_-PRON-,#N/A,,
winter,,,
condensate_drain,#N/A,,
air vent,,,
lock,,,
out_of_calibration,#N/A,,
a_little,#N/A,,
set_point poc,#N/A,,
hot office,,,
all_ok,#N/A,,
ext,,,
leave_customer_a,#N/A,,
operate,,,
action_take replace_diaphragm,#N/A,,
poc_sarah,#N/A,,
replace_diaphragm check_operation,#N/A,,
rebuild_valve,#N/A,,
to_normal operation,#N/A,,
replace damper,S,replace,
damper actuator,,,
mode,,,
12,#N/A,,
control air_leak,#N/A,,
f.,X,,
roof_leak,#N/A,,
come_out_of,#N/A,,
replace reheat_valve,#N/A,,
replace thermostat,S,replace,
find no_water_present,#N/A,,
bad_motor,#N/A,,
actuator calibrate_stat,#N/A,,
check room_temperature very_hot,#N/A,,
poc_power_plant,#N/A,,
-PRON-_would,#N/A,,
find leak,#N/A,,
need repair,P,bad,
blower,I,,
redirect,,,
status,,,
relocate,,,
hvac unit,I,hvac,
fan_motor,#N/A,,
205,#N/A,,
office temperature,I,temperature,
spec,,,
wrong,,,
require,,,
adjust_stat room,#N/A,,
stick,U,,
adjust calibrate_stat,#N/A,,
problem_building_room,#N/A,,
too_hot calibrate_stat check_operation,#N/A,,
action_take system,#N/A,,
t_stat,#N/A,,
9,#N/A,,
find bad,#N/A,,
no_issue find,#N/A,,
rain,,,
louver,I,,
wet,,,
hall,,,
temperature room,#N/A,,
office space,,,
effort,,,
a_side,#N/A,,
adjust temp,S,adjust,
fire_damper,#N/A,,
electric_shop replace,#N/A,,
check cold,,,
inform_customer,#N/A,,
water valve,I,water_valve,
action_take_relate,#N/A,,
could_not,#N/A,,
request adjust,#N/A,,
related,,,
look_into,#N/A,,
b_wing,#N/A,,
filter_section,#N/A,,
c.,,,
fan_fail_alarm,#N/A,,
screen,I,,
411,#N/A,,
kitchen,,,
rebuild,S,,
233,#N/A,,
acu-13,I,acu-13,
230,#N/A,,
information,,,
control_board,#N/A,,
unit discharge,I,discharge,
e,X,,
t-2_controller,#N/A,,
320,#N/A,,
action_take repair,#N/A,,
air blow,,,
calibrate_stat set,#N/A,,
check air,,,
action_take reset,#N/A,,
entire,X,,
verify_proper_operation poc_customer,#N/A,,
fume_hood_not_work,#N/A,,
too_warm in_bldg,#N/A,,
deflector,I,,
pre_heat_section,#N/A,,
c_wing,#N/A,,
zone,,,
relay,I,,
fire,#N/A,,
actual,,,
trap,,,
acu-12,I,acu-12,
ep_switch,#N/A,,
219,#N/A,,
14,#N/A,,
blow_out,#N/A,,
people,,,
replace bad,S,replace,
asap,,,
for_71*f,#N/A,,
clear_drain,#N/A,,
low_humidity,#N/A,,
flex_connection,#N/A,,
air filter,I,air_filter,
replace fail,,,
action_take replace valve,#N/A,,
check room_temperature in_bldg,#N/A,,
check room_temperature very_cold_in_bldg,#N/A,,
action_take_reset_fs,#N/A,,
room stat,I,thermostat,
find issue_with,#N/A,,
stat calibrate,#N/A,,
poc_dr,#N/A,,
find acu-1,#N/A,,
forward,,,
make_adjustment,#N/A,,
d,,,
gate,I,,
able_to,#N/A,,
site,I,,
refrigerant,I,,
no_longer,#N/A,,
setpoint,I,set_point,
lab hot,#N/A,,
urgent,X,,
turn heat,,,
69*f,I,69F,
60*f,I,60F,
a_new,#N/A,,
want,X,,
hvac_system,#N/A,,
request check no_air_flow,#N/A,,
adjust_stat verify_operation,#N/A,,
area find,#N/A,,
pipe_shop repair,#N/A,,
30_action_take find,#N/A,,
frank,,,
actuator verify_operation,#N/A,,
adjust_thermostat_set_point,#N/A,,
set_for_72*f,#N/A,,
fan_failure_alarm,#N/A,,
stat check_operation,#N/A,,
215,#N/A,,
elevator,,,
control_cabinet,#N/A,,
-PRON- -PRON-,#N/A,,
b264,,,
hand_valve,#N/A,,
electric,I,,
communication,,,
remove replace,#N/A,,
fall,,,
flush,,,
trouble_shoot,#N/A,,
cable,I,,
may_need,#N/A,,
freeze_stat_alarm reset_freeze_stat,#N/A,,
poc_mary,#N/A,,
off_line_due_to,#N/A,,
check too_hot,#N/A,,
for_replacement,#N/A,,
room very_hot,#N/A,,
take_care_of,#N/A,,
check temp,P,check_request,
too_hot temperature,#N/A,,
raise_discharge,#N/A,,
humidty_too,#N/A,,
duplicate,,,
replace_belt_1ea,#N/A,,
request check cold,#N/A,,
for_proper,#N/A,,
check cold temperature,P,cold,
action_take issue,#N/A,,
freeze_cold,#N/A,,
friday,,,
lab too_cold,#N/A,,
ef,,,
899,#N/A,,
mark,,,
bathroom,I,,
replace leak,,,
weekend,,,
air_pressure,#N/A,,
associate_with,#N/A,,
know,,,
replaced,S,replace,
supervisor,,,
replace_diaphragm re_heat_actuator,#N/A,,
replace 2,S,replace,
too_much,#N/A,,
hand_valv_off,#N/A,,
message,,,
by_contractor,#N/A,,
detector,I,,
measurement,I,,
zone_3,#N/A,,
center,,,
outside_air,#N/A,,
exist,,,
in_front_of,#N/A,,
repair coil,S,repair,
scroll,,,
booster,I,,
w,#N/A,,
max,,,
renovation,,,
root_cause,#N/A,,
burn,,,
control_valve leak,#N/A,,
tag,,,
instal_new_valve,#N/A,,
enter,,,
work_fine,#N/A,,
repair_control_air_line,#N/A,,
poc_kim,#N/A,,
for_72*f,#N/A,,
come_back,#N/A,,
find noise,#N/A,,
receive_water_detection,#N/A,,
3rd_floor,#N/A,,
action_take adjust_stat,#N/A,,
68,#N/A,,
find hot_water_pump,#N/A,,
unit check_operation,#N/A,,
computer room,#N/A,,
hot action_take,#N/A,,
look,,,prefer check or inspect
too_hot replace,#N/A,,
deg,,,
zone_1,#N/A,,
return air,I,return_air,
acu-18,I,acu-18,
breaker,I,circuit_breaker,
connection,I,,
ice_machine,#N/A,,
-PRON- ne,#N/A,,
green_auditorium,#N/A,,
dust,,,
on_new_motor,#N/A,,
control air,S,control,
free,U,,
low_temp,#N/A,,
hood alarm,,,
103,#N/A,,
reset_f.s,#N/A,,
customer_say_that,#N/A,,
the_same,#N/A,,
leak find,#N/A,,
bldg_245,#N/A,,
down_due_to,#N/A,,
find at_this_time,#N/A,,
check_room_temperature- too_hot,#N/A,,
action_take replace_belt,#N/A,,
verify_proper,#N/A,,
unit in_bldg,#N/A,,
work perform,#N/A,,
poc_paul,#N/A,,
turn_over_to oeg,#N/A,,
off_due_to power_bump,#N/A,,
poc_michael,#N/A,,
tstat,I,thermostat,
motor_pulley,#N/A,,
check temperature,P,check_request,
temperature set_point,#N/A,,
for_70*f_poc,#N/A,,
check too_cold,#N/A,,
riser,I,,
size,,,
closet,,,
diaphragms,#N/A,,
ice,,,
would_not,#N/A,,
a56,,,
b112,,,
a120,,,
for_summer,#N/A,,
strainer,I,,
acu_'s,#N/A,,
b_side,#N/A,,
acu_,#N/A,,
fabricated,,,
from_ceiling,#N/A,,
poc_christina,#N/A,,
construction_shop,#N/A,,
poc_william,#N/A,,
too_hot temperature in_bldg,#N/A,,
condensate_pan,#N/A,,
t-3_controller,#N/A,,
bldg_223,#N/A,,
check system find,#N/A,,
verify_operation_of system,#N/A,,
hot water valve,,,
find_hand_valv,#N/A,,
stat poc,#N/A,,
down_for,#N/A,,
plug,I,,
ceiling_tile,#N/A,,
value,,,
b310,,,
clean room,I,clean_room,
assist,,,
during_the,#N/A,,
diaphram,I,,
low_flow,#N/A,,
loading_dock,#N/A,,
problem_with,#N/A,,
month,,,
balance,,,
gain_access,#N/A,,
78*f,I,78F,
poc_diane,#N/A,,
bldg_235,#N/A,,
calibrate_stat adjust_set_point,#N/A,,
too_hot replace_diaphragm,#N/A,,
adjust_set_point poc,#N/A,,
13,#N/A,,
actuator replace,#N/A,,
80,#N/A,,
customer -PRON-,#N/A,,
faulty,P,fault,
from_vent,#N/A,,
too_cold temperature,#N/A,,
belt replace,S,replace,
device,,,
load,,,
by_pipe_shop,#N/A,,
fan run,,,
action_take_replace_diaphrgam,#N/A,,
adjust_set_point on_computer,#N/A,,
adjust damper,S,adjust,
shaft bearing,#N/A,,
guard,,,
1/2,#N/A,,
acu-14,I,acu-14,
laboratory,I,,
john,S,person,
build_216,#N/A,,
broken,P,,
valve replace,#N/A,,
attach,,,
last_week,#N/A,,
valve leak,R,,
cafeteria,I,,
heat_exchanger,#N/A,,
b141,,,
clean_up,#N/A,,
hear,,,
red_auditorium,#N/A,,
current,,,
-PRON- okay,#N/A,,
strong,,,
auto,,,
b131,,,
work_order,#N/A,,
rh,,,
machine,,,
humidity set_point,#N/A,,
extremely_cold,#N/A,,
right,,,
room_temperature too_warm,#N/A,,
check_room_temperature- too_hot in_bldg,#N/A,,
check water_detection_alarm,#N/A,,
stat room,I,thermostat,
poc_mike,#N/A,,
a16,,,
wing,I,,
reason,,,
bldg_227,#N/A,,
action_take adjust_set_point,#N/A,,
continue,,,
request check too_hot,#N/A,,
-PRON-_say,#N/A,,
apc,,,
tension_belt,#N/A,,
check no_air_flow in_bldg,#N/A,,
reset unit,S,reset,
notify,,,
76*f,I,76F,
humidty,,,
screw,I,,
unit verify_operation,#N/A,,
noisey,P,noisy,
control room,I,control_room,
module,I,,
man,,,
2_degree,#N/A,,
mount,,,
16,#N/A,,
supply_duct,#N/A,,
randy,S,person,
hard,,,
freezestat,I,,
preheat_valve,#N/A,,
out_of_service,#N/A,,
operational,,,
fabricate instal,#N/A,,
poc_chris,#N/A,,
a123,,,
work complete,#N/A,,
very_loud,#N/A,,
stat adjustment,S,adjust,
open_damper,#N/A,,
diaphrgam,I,diaphragm,
reset_freeze_stat check_operation,#N/A,,
reset_alarm verify_operation,#N/A,,
damage,,,
phone,,,
unit_serve_area,#N/A,,
checked_operation_of,#N/A,,
reset_alarm verify_proper_operation,#N/A,,
action_take complete_per_request,#N/A,,
request check too_cold,#N/A,,
grease,I,,
hose,I,,
alarm_come,#N/A,,
trouble,U,,"linked with trouble shot, trouble alarm"
a143,,,
radiator,I,,
65*f,I,65F,
a321,,,
60_degree,#N/A,,
75*f,I,75F,
house,I,,
low temperature,P,cold,
stat_set_point,#N/A,,
disconnect,,,
-PRON- need,#N/A,,
repair air_line,#N/A,,
b121,,,
open_hand_valve,#N/A,,
defusser,I,diffuser,
tank,I,,
ep,,,
temperture,I,temperature,
67*f,I,67F,
action_take raise_set_point,#N/A,,
system to_normal,#N/A,,
resolve_issue,#N/A,,
make_loud_noise,#N/A,,
1st_floor,#N/A,,
-PRON-_say_that -PRON-,#N/A,,
temperature too_cold,#N/A,,
open_valve,#N/A,,
please_turn,#N/A,,
too_cold temperature in_bldg,#N/A,,
m_slip_detail_description,#N/A,,
serve_area,#N/A,,
way too_hot,#N/A,,
unit_down_for maintenance,#N/A,,
-PRON- do_not,#N/A,,
off_open,#N/A,,
portable,,,
ccf,,,
tom,I,person,
paper,I,,
load_dock,#N/A,,
meet,,,
slip,,,
storeroom,I,,
number,,,
temperature control,,,
cause noise,#N/A,,
green,,,
the_past,#N/A,,
summer,,,
c01,,,
reset_f.s unit,#N/A,,
replace pulley,S,replace,
calibrate_grad,#N/A,,
b116,,,
feel,,,
hand,,,
a207,,,
lab temperature,I,temperature,
constant,,,
wds_alarm,#N/A,,
knob,I,,
library,I,,
temp_okay,#N/A,,
cold temperature in_bldg,#N/A,,
code,,,
acu_1,#N/A,,
phone_message customer,#N/A,,
block,I,,
poc_gail,#N/A,,
58*f,I,58F,
open_door,#N/A,,
check too_hot temperature,#N/A,,
reset_freeze_stat alarm,#N/A,,
temperature too_hot,#N/A,,
calibrate stat,S,calibrate,
correct_issue,#N/A,,
stat replace,#N/A,,
poc_brian,#N/A,,
per_customer request,#N/A,,
transducer,I,,
later,,,
1_ea,#N/A,,
54*f,I,54F,
cold room,P,cold,
valve calibrate_stat,#N/A,,
replace_re_heat_diaphragm calibrate_stat,#N/A,,
15,#N/A,,
person,I,,
very_hot office,#N/A,,
warm temperature,P,hot,
confirm_that,#N/A,,
signal,I,,
main_air,#N/A,,
server_room,#N/A,,
frame,I,,
this_morning,#N/A,,
correctly,,,
return_grill,#N/A,,
boiler,I,,
rattle,P,,
24,#N/A,,
air_compressor,#N/A,,
f.s,,,
miss,,,
west,,,
leak coil,P,leak,
pneumatic,,,
e_wing,#N/A,,
pull,,,
fan belt,I,fan_belt,
b100,,,
-PRON- replace,#N/A,,
deliver,,,
2,#N/A,,
air_dryer,#N/A,,
snow,I,,
57*f,I,57F,
