New Tokens ,P|S|I|X|R|U (Problem/solution/item/stop word/redundant/unsure),Preferred label,Notes
spare unit,S,swap,"I think this is interesting, but i think this should always give us swap "
crack,P,,
clog,P,,
bar clamp,I,bar_clamp,
cutoff,I,cutoff_unit,
arbor,I,,
change shaft,U,,
lp accumulator,P,low_pressure,THIS IS R
separator,I,,
jc,U,,
push dog,I,push_dog,?
skirt,I,,
break screw,U,,
catch,I,,"probably ""a catch"""
lower,U,,
flag sensor,I,flag_sensor,
run in auto,I,run_auto,
time cycle,I,time_cycle,I am not one hundred percent sure on this 
spindle bearing replace,S,replace,
bar not feed,P,will_not_feed,
linear,I,,
variation,P,,
approach,U,,
e stop,P,emergency_stop,I think this is problem
synchronize,U,,
mist,I,,
hydraulic pump,I,hydraulic_pump,
conveyor motor,I,conveyor_motor,
replaced broken,R,,
fully,X,,
low coolant flow,P,low,
broken clutch,P,broken,
sp#6,I,sp_6,
actual,X,,
loud,P,noise,
replace coolant,S,replace,
hydraulic return line,I,hydraulic_return_line,
loader fault,P,fault,
conveyor clutch,I,conveyor_clutch,
FALSE,X,,
disassemble,S,,
nest,X,,
st#2 drill,I,st_2_drill,
table valve,I,table_valve,
jon,I,person,
motor inop,P,inoperable,
loose wire,P,loose,
index o/t fault,P,index_overtime_fault,
1st,X,,
resolve,S,,
retract,S,,
trace,X,,
action,X,,
broken clutch disc,P,broken,
vary,P,,"LIKE ""RUN"""
rear of iemca,I,iemca_rear,
leak at rear,P,leak,
rings,I,,
replace table,S,replace,
bar loading,I,bar_loader,
reboot,S,,
st#14,I,st_14,
jump,S,,
offline,P,inoperable,
remove broken,S,remove,
shuttle,I,,
bar loader chain,I,bar_loader_chain,
loader chain break,P,broken,
tool detection inop,P,inoperable,
remount,S,,
collet close,U,,
borrow,S,,
3rd,X,,
drop part,P,drop_part,
hydraulic motor,I,hydraulic_motor,
reset breaker,S,reset,
replaced motor,S,replace,
replace miss,S,replace,
utility,X,,
replace spindle,S,replace,
hog,I,,
spindle drive,I,spindle_drive,
feed chain,I,feed_chain,
pressure gauge,I,pressure_gauge,
tool clamp,I,tool_clamp,
id,U,,
inside,X,,
seat,I,,
engage,U,,
setting,U,,
clip,I,,
washer,I,,
remove and clean,R,,
impellor,I,,
milling,I,,
wand,I,,
sprocket,I,,
recess unit,I,recess_unit,
slug,I,,
spool,I,,
chamfer unit,I,chamfer_unit,
see attachment,S,see,
receiver,I,,
attach,S,,
>,X,,
dresser,I,,
oil pump,I,oil_pump,
rhe,X,,
orifice,I,,
extension,U,,
monitoring,U,,
input,I,,
clamp jaw,I,clamp_jaw,
soft,X,,
parameter,I,,
pad,I,,
reject,U,,
pivot,I,,
delay,P,,
x3,I,x_3,
receive,U,,
rewire,S,wire,
hydraulic oil,I,hydraulic_oil,
new motor,R,,
14,X,,
manually,S,manual,
part order,S,order,
valve leak,P,leak,
unit jam,P,jam,
filter housing,I,filter_housing,
9,X,,
prox switch,I,proximity_switch,
power to machine,U,,
switch inop,P,inoperable,
retainer,I,,
range,U,,
wheel control,U,,
replace motor starter,S,replace,
provide,S,,
coolant line,I,coolant_line,
wheel control valve,I,wheel_control_valve,
repeatedly,X,,
tripping,P,trip,
depth,U,,
pp,U,,
smog,I,,
replace screw,S,replace,
hp at 50bar,R,,
up/down,I,up_down,
check valve,S,check,
cycled power,S,cycle,
replace clamp,S,replace,
issue report,S,report,
counter inop,P,inoperable,
spindle shut,R,,
bar loader fault,P,fault,
table up/down,I,table_up_down,
bleeder valve,I,bleeder_valve,
st#1,I,st_1,
replace switch,S,replace,
turret 3,I,turret_3,
maintenance,U,,
electric,I,,
cutoff unit,I,cutoff_unit,
oil line,I,oil_line,
small,U,,
maint,U,,
fine,X,,
press,U,,
high pressure,U,,
expose,S,,"LIKE ""RUN"""
mfg,I,manufacturing,
swap with spare,S,swap,
need new,P,broken,
workzone,I,,
motor replace,S,replace,
workzone light,I,light,
high speed,I,high_speed,
pressure fault,P,pressure_fault,
workzone light inop,P,inoperable,
fuse replace,S,replace,
care,X,,
switch break,P,broken,
open/close,P,,"LIKE ""RUN"""
v,X,,
leak at iemca,P,leak,
correctly,X,,
mag,I,magazine,Maybe? I think it is magazine 
axis ball screw,I,axis_ball_screw,
axis ball,I,axis_ball,
colant,I,coolant,
proper,X,,
cable connection,I,cable_connection,
base cleaning,S,clean,
wash,S,,
replace break,S,replace,
spindle contactor,I,spindle_contactor,
magazine,I,magazine,
reach,X,,
exit chute,I,exit_chute,
hard,U,,
exhaust,I,,
fix,S,repair,
mm,X,,
battery,I,,
hyd filter,I,hydraulic_filter,
cord,I,,
platform,I,,
power supply,I,power_supply,
spindle carrier,I,spindle_carrier,
remain,X,,
25bar charge,S,charge,
hs counter,I,high_speed_counter,
shear,U,,
oal,X,,
voltage,I,,
manual,S,,
grm,U,,
john,I,person,
doug,I,person,
b side turret,I,b_side_turret,
cable break,P,broken,
recess spindle,I,recess_spindle,
cool unit,I,cool_unit,
lp at 25bar,R,,
table drift,P,drift,
stem,I,,
fork truck,I,fork_truck,
chip conveyor clutch,I,chip_conveyor_clutch,
ot fault,P,overtime_fault,
install chip,S,install,
ot,P,overtime_fault,
tool oil,I,tool_oil,
air tool oil,I,air_tool_oil,
air tool,I,air_tool,
fork,I,,
bush,I,,
screw and replace,R,,
sam,I,person,
feeder chain break,P,broken,
1000,X,,
single,X,,
cleared,S,clear,
internal,X,,
chuck cylinder,I,chuck_cylinder,
draw,U,,
st#3 spindle,I,st_3_spindle,
freed,S,adjust,
unjammed,S,unjam,
unit trip,P,trip,
lt module,I,lt_module,
take care,R,,
replace fuse,S,replace,
see head,S,see,
1700,X,,
keep,X,,
clear alarm,S,clear,
randomly,X,,
wait,X,,
ss,U,,
replace bearing,S,replace,
st#11 spindle,I,st_11_spindle,
st#2 drill detector,I,st_2_drill_detector,
replace airline,S,replace,
spindle swap,S,swap,
feed line,I,feed_line,
selector switch break,R,,
clamp screw strip,,,
access,S,,"LIKE ""RUN"""
spindle contactor overload,,,
checked,S,check,
weld repair,R,,
stock stop,,,
away,,,
lubricate,,,
tighten loose,,,
programming,,,
replaced air,R,,
on/off,P,,"LIKE ""RUN"""
replaced hs,R,,
od,X,,
coolant pressure,,,
entry,I,,
consume,,,
clean base,R,,
elect,,,
hsk clamp screw,,,
feed fault,P,feed_fault,
random,,,
bleed,S,,
learn mode,S,learn_mode,
25,X,,
opers,,,
pin break,R,,
minor,,,
st#10 spindle,,,
replace performance module,,,
gerry,,,
operate,,,
replace performance,,,
door lock,,,
replace clutch,R,,
lt,,,
bag,,,
reapired,,,
ml,,,
replace pin,R,,
lp at 30bar,,,
learn,S,learn_mode,
laser tool,,,
safety switch,,,
smog hog,,,
vacuum pump,,,
replace worn,,,
dress,,,
air hose,,,
hose leak,R,,
locate,,,
track replace,R,,
faulty,P,broken,
gib,,,
gearbox,I,,
stripper,I,,
rack drive,I,rack_drive,
3.2,X,,
u,X,,
sleeve,,,
spec,,,
adjuster,,,
replace filter,R,,
swivel,,,
couple,,,
reduced,S,reduce,
lid,,,
h11,I,h_11,
bob,,,
main coolant,,,
pressure alarm,,,
lift pump,,,
sat,X,,"Assume ""saturday""?"
sludge,,,
site glass,,,
rag,,,
lubrication,,,
> charge,S,charge,
flow rate,,,
7/20,X,,
collector tube,,,
manifold,,,
site,,,
inverter rod,I,inverter_rod,
overtravel,,,
adjust rod,,,
robo,,,
remnant,X,,
power module,I,power_module,
guard break,R,,
inverter guard,I,inverter_guard,
insert,,,
fill,,,
feed tube,,,
feed rate,,,
loader issue,,,
steve salley,,,
salley,,,
30,X,,
1st shift,,,
guidance,,,
st#3 recess,,,
reattached,,,
hs4,,,
allen,,,
vogel leak,,,
switch replace,R,,
bolt break,,,
fabricate new,,,
consumption,,,
store,,,
will_not_feed,P,will_not_feed,
leak side b.,R,,
location,,,
c/o unit,I,cutoff_unit,I thnik c/o = cutoff
retrieve,,,
repair leak,,,
switch fault,,,
separate,,,
noisy,,,
st#2 bearing,,,
tool slide,,,
h15,,,
siezed,,,
36/100,X,,
adjust screw,,,
blank,,,
repair wire,,,
replace drive,R,,
backup,,,
life,,,
breaker reset,,,
replace prox,,,
non,X,,
alarm clear,,,
multiple alarm,,,
check bearing,,,
electrical connection,,,
replace fitting,,,
likely,,,
look,,,
proximity sensor,,,
parts,,,
pan,,,
ground,,,
will_not_feed,,will_not_lock,
replace damage,,,
automation,,,
reducer,,,
escapement,,,
metering,,,
new bar,,,
brush unit jam,,,
dress unit,,,
relocate,S,,
lucifer valve,I,lucifer_valve,
table indexing fault,,,
15bar,,,
indexing fault,,,
spray,,,
lucifer,I,lucifer,
end of spindle,I,spindle_end,
load valve,I,load_valve,
head bearing,,,
lube tank,,,
2x,,,
spindle valve,,,
tooling,,,
circuit breaker,,,
motor fall,,,
hp coolant pump,,,
leak at inverter,R,,
replace solenoid,,,
replace relay,,,
flat,,,
difficult,,,
accumulator drop,R,,
leak hydraulic fluid,R,,
replace with spare,,,
st#12 brush unit,,,
st#12 brush,,,
detach,,,
component,,,
order and instal,,,
hp at 40bar,R,,
sensor inop,,,
replace encoder,R,,
magazine tray,I,magazine_tray,
inverter fault,P,inverter_fault,
activate,,,
2 break,,,
module replace,,,
cycling,,,
straighten,S,,
st#2 tool,,,
bar stop,I,bar_stop,
jamming,P,jam,
jam forward,,,
magnet,,,
week,,,
adjust clutch,R,,
machine fault,,,
24v,I,,
rupture bladder,R,,
bar pusher,I,bar_pusher,
wrap,,,
st#2 valve,I,st_2_valve,
adjust sensor,,,
back,,,
turret remove,,,
transport collision,,,
task,,,
unit trip breaker,,,
reduce,S,,
operator report,,,
broken feeder chain,R,,
h32,,,
ra,,,
spindle seize,,,
replaced hs counter,R,,
part receiver,,,
index valve,,,
motor failure,,,
accumulator charge,R,,
broken feeder,R,,
st#6 vertical,,,
tumbler,,,
datum,,,
mill head,,,
drawbar,I,,
reel,,,
stock reel,,,
fette,,,
hs5,,,
u axis,,,
cup,,,
gripper sensor,,,
double,,,
collet housing,,,
quill,,,
3x,,,
table rack,I,table_rack,
disabled,,,
paint,,,
chip stripper,I,chip_stripper,
gallon,,,
control pivot,I,control_pivot,I think this is OK
lock pin,,,
spindle move,,,
smell,,,
appear,,,
microphone,,,
w,,,
feed motor,,,
pick and place,,,
end play,,,
polarity,,,
y1,,,
handle,,,
y1 axis,,,
invert valve,I,inverter_valve,
regulating,,,
regulating wheel,,,
lever,,,
headstock,,,
close roll,,,
drum filter,,,
broken pin,R,,
broken collet,,,
sp#2,,,
part separator,,,
paper,,,
scale,,,
disconnected,,,
excessive play,,,
apart,,,
soon,,,
run with clip,,,
pressure coolant,,,
reservoir,,,
swap performance,,,
swap performance module,,,
travel flag sensor,,,
repair broken,,,
replaced track,,,
flag sensor cable,,,
tornos,,,
machine shut,,,
feed chain break,R,,
encoder cable,,,
prior,,,
cb,,,
replace with rebuilt,,,
motor overload fault,,,
1/2 table valve,,,
wrench,,,
see clamp,R,,
loader valve,I,load_valve,
contactor replace,,,
guide channel,,,
address,,,
sensor cable replace,,,
suspect,,,
charge hp,R,,
b spindle,,,
mechanism,,,
shim,,,
main drive,,,
lp ok,R,,
loose screw,,,
mist collector,,,
mount bolt,,,
sound,,,
blown fuse replace,R,,
frequency,,,
movement,,,
converter,,,
kick,,,
trunk,,,
leak from base,,,
recognize,,,
swap valve,,,
spindle motor,,,
diagnose,,,
wo not start,P,will_not_start,
screw loose,,,
rear door,,,
collet break,,,
new cable,,,
st#12 motor,,,
24,X,,
3rd shift,,,
overhead,,,
s,X,,
lyle,,,
removed base,R,,
available,,,
cart,,,
valve stack,I,valve_stack,
motor too hot,,,
wo not clear,P,will_not_clear,
channel guide,,,
thermal,,,
tell,,,
hyd flange,,,
closing,,,
outlet,,,
coolant alarm,,,
