Date,Mach type,Mach,Effect,Machine Area,Description,Resolution,I,NA,P,S,U,X
3/16/15,,H3,,,Chip conveyor INOP,Ran back and forth; Cleared,"conveyor, chip",,inoperable,clear,run,
3/16/15,,Sinico,,,Unit 2 chamfer head belt broken from 3S collision,Replaced drive belt,"unit, head, belt, chamfer",,broken,replace,drive,
3/17/15,,ES5,,,Adjusting screw broken pos 2 in tool head,,"screw, head, tool",,broken,adjust,,
3/17/15,,H14,,,Saw attachment; short saw life,Replaced saw attachment with backup attachment; removed unit to be rebuilt,"unit, saw, attachment",,short,"replace, remove, rebuild",,
3/17/15,,H19,,,St#11 spindle keeps losing drills,Wrong drive pulleys on spindle; Correct pulleys and belt replaced,"station, spindle, belt, drill, pulley",,,"replace, correct","drive, 11",
3/17/15,,H8,,,St# 6V mill not running,Replaced GR motor; broken drive inside gearbox,"station, motor",,broken,replace,"drive, running",
3/17/15,,I2,,,Side B hydraulic leak,Replaced hydraulic hose / base drained with new collant added,"hydraulic, coolant, base, hose",drain,leak,"replace, add","new, drain",
3/17/15,,T105,,,Machine will not stay running,Gearbox cleaned out and prox sensor replaced,"sensor, machine, prox",,,"replace, clean",running,
3/18/15,,H14,,,Inverter guard broken,Welded ,"inverter, guard",,broken,weld,,
3/18/15,,H14,,,Accumulator check / dropping parts at saw,Checked accumulator; OK at 30bar,"accumulator, part, saw",30bar,drop,"check, ok",,
3/18/15,,H29,,,St#12 HSK tool clamp loose,Replaced HSK clamp screw,"station, screw, clamp, tool",,loose,replace,"12, hsk",
3/18/15,,H3,,,Losing parts at exit chute,Operator adjusted chute; reported ok,"operator, part, chute",,,"adjust, ok, report",,
3/18/15,,I1,,,Adjust jammed chip stripper on conveyor,Adjusted chip conveyor belt tension and cleared chips from stripper,"conveyor, chip, belt",,jam,"adjust, clear",,
3/18/15,,I18,,,Alarm  765053 bar clamping pressure still present SP#6,Cleared on 3/19,"spindle, pressure, clamp",,alarm,clear,bar,present
3/18/15,,I5,,,Hydraulic leak in spindle carrier,Removed and replaced broken bolts in spindle #4 horseshoe,"spindle, hydraulic, bolt",,"broken, leak","replace, remove",,
3/18/15,,TK4,,,Sensors on spindle INOP,Sensors and cables replaced with Tony Lobo assist,"spindle, sensor, cable, person",,inoperable,replace,,
3/19/15,,H11,,,St#13 motor smoking,JPM provided motor / Luis Vargas installed,"station, motor, person",,,install,13,
3/19/15,,H12,,,Hydraulic leak at St#11 valve plate,Removed valve plate and replaced O-Rings,"station, valve, hydraulic, plate, ring",,leak,"replace, remove",11,
3/19/15,,H23,,,Saw unit will INOP,Prox wiring replaced,"unit, prox, saw, wire",,inoperable,replace,,
3/19/15,,H8,,,Remove Bio-Hyd from PP; replace with ISO 46 hyd oil,JPM swapped.,"hydraulic, oil, person",,,"replace, remove, swap",,
3/19/15,,I19,,,Breaker tripping / elect burn smell,Breaker reset; Norm monitoring,breaker,trip,trip,reset,,
3/19/15,,RM227,,,Stripped screw head in regulating wheel,Removed screw by drilling it out,"screw, head, wheel",,strip,remove,regulating,
3/19/15,,TK3,,,Conveyor sensor alarm??,Pete Carello corrected,"conveyor, sensor",,alarm,correct,,
3/19/15,,TK4,,,HP coolant pressure at 75psi,Bad gauge / Low pressure lines cleaned ou,"coolant, pressure",,broken,clean,"hp, low",
3/20/15,,EWAG,,,Meauring arm slamming / pneumatic shock absorber?,Air leak in pneumatic actuator repaired.,"air, actuator",,leak,repair,,
3/20/15,,H11,,,Stuck in 1/2 table w numerous faults,Brushing unit motor wiring causing issues. Replaced motor starter,"unit, motor, table, brush, wire, starter",,"fault, issue, stuck",replace,,causing
3/20/15,,H11,,,Pendant screen blank / Multiple faults,,"pendant, screen",,fault,,,multiple
3/21/15,,I3,,,Broken wire on AIM,Repaired wire,wire,,broken,repair,,
3/21/15,,SC5,,,No Power to machine,,machine,,,,power,
3/23/15,,H11,,,Electrical failure,Tony resolved electrical; no details,"electrical, person",,failure,,,
3/23/15,,H23,,,Saw will not fire,Prox adjusted,"prox, saw",,,adjust,,
3/23/15,,H24,,,6mm hex clamping screw broken / ,Removed and replaced broken clamping screw,"screw, clamp",,broken,"replace, remove",,
3/23/15,,H26,,,Brushing unit adjustment broken,Replaced adjusting threaded rod,"unit, brush, rod",,broken,"replace, adjust",,
3/23/15,,H28,,,Threading unit chattering,Replaced motor starter,"unit, motor, thread, starter",,,replace,,
3/23/15,,H29,,,Breaker tripping    ,Replaced motor at St#11,"station, motor, breaker",trip,trip,replace,11,
3/23/15,,H33,,,Brushing unit stuck forward at 1445,Replaced motor contactor M14,"unit, motor, brush, contactor",,stuck,replace,forward,
3/23/15,,H4,,,Loose wire in control box,Repaired wiring,"wire, box",,loose,repair,control,
3/23/15,,I1,,,Over travel alarm,Reboot machine and manually referrence,machine,,alarm,,travel,
3/23/15,,I19,,,Broken air line,Replaced air line,"air, line",,broken,replace,,
3/23/15,,I19,,,M0.1 pump active but no oil flow,Drum filter clogged; vacuum cleaned and online,"pump, oil, filter, flow",,,clean,online,
3/23/15,,I2,,,Chip conveyor INOP,Cleared large nest of chips from conveyor,"conveyor, chip",,inoperable,clear,,
3/23/15,,I20,,,Stop switch S120.2 not releasing,Switch replaced,,,,replace,"switch, stop",
3/23/15,,I3,,,Main power switch broken; will not shift ON or OFF,Replaced switch,,,broken,replace,"switch, power, main, shift",
3/23/15,,I4,,,Door on side B transfer; broken screws,Retapped for new screws,"screw, door",,broken,,new,
3/23/15,,I6,,,CPU/PLC alarms after brown out,Reboot machine,"machine, plc",,alarm,,,
3/23/15,,T105,,,Will not start after power interruption,Reset,,,,reset,"power, start",
3/23/15,,TK4,,,HP and LP pumps INOP,Replaced HP pump (relief valve arrived 3/24) SA installed ,"valve, pump, low_pressure",,inoperable,"replace, install",hp,
3/24/15,,Blast 2,,,Broken door clamp; hook bolt,Replaced with new hook bolt on hand,"clamp, door, bolt",,broken,replace,new,
3/24/15,,H33,,,St#5 motor inop / humming (brushing unit),Lead screw jammed in spindle / All removed and reset with JPM guidance issued to Jon,"station, unit, motor, spindle, screw, brush, lead, person",,"inoperable, jam","remove, reset",,
3/24/15,,H34,,,Saw blade spun on hub,Removed and repaired the saw unit pins,"unit, saw, hub",,,"repair, remove",,
3/24/15,,I4,,,Speed limit @ Spindle A exceeded,"Spindle A hit by loader / Loose piston and V block, fittings replaced; air too fast.","spindle, loader, air, fitting, speed, piston",,loose,replace,"limit, block",
3/25/15,,H16,,,Broken chain on loader,Broken at master link; New link replaced by Paulo and Steve C,"loader, chain, steve",,broken,replace,new,
3/25/15,,H16,,,Encoder coupling broken / Chain was broken and reapired during 1st shift,Replaced encoder coupling on bar loader,"loader, chain, encoder",,broken,"replace, repair","bar, shift",
3/25/15,,H20,,,Emergency retract solonoid failure,Replaced solonoid and fuse,"fuse, solenoid",,failure,replace,,
3/25/15,,H26,,,Vogel lube faults,Tightened loose fitting!,"vogel, fitting, lubrication",lubrication,"fault, loose",tighten,,
3/25/15,,H3,,,Invert push rod staying forward,Replaced inverter valve,"valve, inverter, rod",,,replace,"forward, push",
3/25/15,,NM1,,,Sub spindle Z Axiz ball screw has play Measured to .0015 on 3/24 with no parts out of spec. 3/25 parts out of spec.,New Sub Spindle Z axis ball screw installed with Denis and Jon C / Instructed to grease ball screw travellers every two months,"spindle, screw, part, axis, ball",,,install,"new, play",
3/25/15,,T102,,,Main Tool slide Alignment,Removed MTS drum to replace alignment rolls then aligned. Turned over to ML 3/26 0815,"tool, slide",,,"replace, remove, align","main, turned, 26",
3/25/15,,T91,,,Base Cleaning,Cleaned,base,,,clean,,
3/25/15,,T97,,,Base Cleaning,Cleaned   ,base,,,clean,,
3/26/15,,H20 ,,,St#11 iBag spindle stuck forward,Replaced entire spindle with unit on the shelf,"station, unit, spindle, shelf",,stuck,replace,"11, forward",
3/26/15,,H8,,,ST# 14 slug detector INOP,No Issue; Does not  check  using fault reset switch. Only when table indexes,"station, table, index, detector",,"inoperable, fault, issue","check, reset","switch, 14",
3/26/15,,I18,,,Spindle #6 off / Bar clamp alarms,Replaced cable for clamp pressure sensor,"spindle, sensor, pressure, cable, clamp",,alarm,replace,bar,
3/26/15,,I4,,,Air line to part blow off before AIM INOP,Replaced air cylinder and modified plate,"air, line, cylinder, plate",,inoperable,replace,,
3/26/15,,I6,,,Hydraulic leak Side B,Replaced hydraulic hose / base drained with new collant added,"hydraulic, coolant, base, hose",drain,leak,"replace, add","new, drain",
3/26/15,,T91 ,,,Spline in main pully worn,,pulley,,worn,,main,
3/26/15,,TK4,,,Spindle not braking at end of cycle,Adjusted belt tension and monitored until 0945; Online,"spindle, belt",,,adjust,"end, cycle, online",
3/27/15,,H23,,,Saw attachment hub spun,Removed and repaired the saw unit pins,"unit, saw, attachment, hub",,,"repair, remove",,
3/27/15,,H33,,,Spindle contactor overload,Operator corrected; No details,"spindle, operator, contactor",,overload,correct,,
3/27/15,,I4,,,No teeth on sprocket at return loop of offload conveyor. Track jumping,No available sprocket found. Denis adjusted the track position at the drive sprocket and adjusted belt tension. OK,"conveyor, belt, position, offload",,,"adjust, ok","drive, track, returning",
3/27/15,,I4,,,Offload conveyor bouncing,Broken screw on support bracket replaced,"conveyor, screw, offload, bracket",,broken,replace,,
3/28/15,,H17,,,Table will not drop after indexing,Replaced prox s and reset all collars on the table location rod. Lyle drained base for access.,"table, base, prox, index, rod",drain,drop,"replace, reset",drain,
3/30/15,,A76,,,Machine  will not index,Found cross slide locking bolt extended and binding the slide.,"machine, index, slide, bolt, cross",,,,locking,
3/30/15,,ANCA,,,Light bar on ANCA INOP,Replaced bulbs,light,,inoperable,replace,bar,
3/30/15,,H11,,,Brush unit INOP,Turned on the vertical station above the brushing unit. Brush will only fire after vertical fires; Sequenced DUH!; How much downtime Russ?,"station, unit, brush, person, vertical",,inoperable,,turned,
3/30/15,,H22,,,CNC at 35 seconds / Hyd filter,Replaced filter,"hydraulic, filter, cnc",,,replace,35,
3/30/15,,H29,,,Spindle moves for D22978 setup,Spindles moved,spindle,,,setup,move,
3/30/15,,I2,,,Chip  conveyor jam,Cleared by hand crank,"conveyor, chip",,jam,clear,,
3/30/15,,I2,,,Light out side A,Replaced light bulb,light,,,replace,,
3/30/15,,SC6,,,Contoler keeps resetting; Reading in code,"Replaced controller x3, CPU, CPU to Contorller cable / Tony plugged in and found bad logic module which was replaced.","cable, module, controller, person",,broken,"replace, reset",,
3/31/15,,H17,,,Damaged sensor cable at indexer #11,Replaced,"sensor, cable, index",,broken,replace,11,
3/31/15,,H27,,,Saw unit needs to be replaced / 4 saws in 24 hours,Found time cycle too fast for saw / attachment bolts to rack drive loose; GD adjusted TC and tensioned bolts. One bolt is broken in rack assembly and will require Manit when DT permits.,"unit, saw, bolt, attachment, rack",tension,"broken, loose","replace, adjust, need, tension, require","drive, cycle, time",hours
3/31/15,,H27,,,Bottom Left XD failure,Unit rebuilt by Roland and installed / Spare parts ordered to replace inventory,"unit, part, cross_drill, inventory",,failure,"replace, install, rebuild, order","spare, left",
3/31/15,,H29,,,St#7 spindle bearings bad,Spindle swapped with 36/100,"station, spindle, bearing",,broken,swap,,
3/31/15,,H33,,,Breaker 220 tripping / St#12 motor overheating,Swapped brusjing unit at St#12 with unit removed from H29,"station, unit, motor, breaker",trip,trip,"remove, swap",12,
3/31/15,,H33,,,Pendant rotaion lock pin broken,Pin was good / swivel tensioned,"pin, pendant",tension,broken,tension,lock,
3/31/15,,H33,,,Threading unit control box loose,Repaired,"unit, thread, box",,loose,repair,control,
3/31/15,,H8,,,St#6 milling head shaft wear,Swapped head with unit in queue for H15 CS1001; Unit removed has been serviced,"station, unit, head, shaft, mill",,,"remove, swap",,
3/31/15,,I17,,,Iemca loading failures,Checked and charged accumulator,"accumulator, iemca",,failure,"check, charge",load,
3/31/15,,I17,,,Rear door hinge loose,Repaired,"door, rear",,loose,repair,,
3/31/15,,I3,,,False Hyd reading / will not pick up part,Cleaned nest; Online,hydraulic,,,clean,"online, pick",
3/31/15,,I3,,,Machine won t start,Multiple faults had to be cleared before being able to start,machine,,fault,clear,"start, won",multiple
3/31/15,,SC11,,,Hydraulic Main Fault; will not build pressure,Bad output module; Broken off rack in electrical cabinet and caused loose connection to hydraulic motor,"motor, hydraulic, pressure, connector, module, electrical, cabinet, rack",,"broken, fault, loose",,main,
3/31/15,,Sinico,,,Offload conveyor INOP,Replaced worn key in conveyor motor drive shaft; Parts list DK,"motor, conveyor, part, shaft, offload, key",,"inoperable, worn",replace,drive,
3/31/15,,Sinico,,,Rear collector broken,Tube welded to repair crack and re inserted,"rear, tube, collector",,broken,"repair, weld",,
4/1/15,,H1,,,Power pack not at 60bar,Drained powerpack and confirmed no hose leak / replaced filter and filled with new ISO 46 hyd oil,"hydraulic, oil, hose, filter",drain,leak,replace,"new, power, pack, drain",
4/1/15,,H17,,,Indexers #11 and #12 out of position and will not reset,Reset;  ML reporting 1st shift oper knows how to do this!,"operator, index, position",,,reset,"11, 12, shift",
4/1/15,,I18,,,Hydraulic valve stack has loud vibration,Hydraulic tank empty! / Filled tank with 35 gallons but finding it having lost 25 gallons in 24 hours on 4/2; searching for Hyd leak,"valve, hydraulic, tank",,leak,,35,hours
4/1/15,,Super Tec,,,Drain and clean tank; Do not refill,Drained and cleaned,tank,drain,,clean,drain,
4/2/15,,H10,,,Table not indexing,Reset all three table indexing proximity switches; Loose. Also adjusted table indexing speed-Was too fast,"table, prox, index, speed",,loose,"adjust, reset",,
4/2/15,,H3,,,Power pack not building pressure. Stuck at 30 bar,Accumulator checked OK at 30bar / replaced filters /pressure stable at 60bar; dropping to 50bar when indexing,"accumulator, pressure, filter, index",30bar,"stuck, drop","replace, check, ok","bar, power, 50bar, pack, 30",
4/2/15,,I17,,,HS4 disabled; will not rotate,Actuator replaced,actuator,,,replace,,
4/2/15,,SC5,,,Rear door lock alarm faults during run cycle,Installed new interlock after receiving taps for elect connect,"door, rear, interlock",,"fault, alarm",install,"new, running, cycle, lock",
4/3/15,,H19,,,St#7 will not complete cycle,Replaced bleeder valve,"station, valve",,,"replace, complete",cycle,
4/3/15,,H33,,,Overload contactor at threading unit,Greased lead screw,"unit, screw, contactor, thread, lead",,overload,,,
4/3/15,,TR#2,,,Service filtermist,Filters replaced,filter,,,replace,,
4/6/15,,Grinder,,,Chevalier grinder in Oper grind room not level,Leveled grinder base,"base, operator",,,,"level, grind",
4/6/15,,H10,,,Units will not fire,Replaced contactor K313 and auxiliary contactor block,"unit, contactor",,,replace,block,
4/6/15,,H23,,,Major Hyd leak from ST#8 valve; Chip breaker valve,Replaced chip breaker valve with rebuilt unit on shelf,"station, unit, valve, hydraulic, chip, breaker, shelf",,leak,"replace, rebuild",major,
4/6/15,,I2,,,Chip conveyor jammed,Hand cranked to free minor jam and replaced clutch plates,"conveyor, chip, clutch, plate",,jam,replace,,
4/6/15,,I6,,,Base has hydraulic fluid; Drain/Clean,"Drained, Cleaned, 50 Micron bag filter replaced","hydraulic, base, filter",drain,,"replace, clean",drain,
4/6/15,,Mayfran,,,Diaphram pump #1 INOP,Replaced pump ,pump,,inoperable,replace,,
4/6/15,,SC3,,,Rot cam switch faults; became Monitor spindle drive fault,LT module replaced but issue remained; Feed motor was seized. Replaced with motor from SC4. Bad motor shipped to Electric Enterprise for repair.,"motor, spindle, module",,"broken, fault, issue, seize","replace, repair","switch, drive, feed",
4/6/15,,T102,,,Clutch will not disengage,Rebuild cluch,clutch,,,rebuild,,
4/6/15,,T103,,,Machine will not engage,Solonoid OK; Clutch adjusted and online,"machine, clutch, solenoid",,,"adjust, ok",online,
4/7/15,,H14,,,Brushing requires LH rotation,Replaced brushing unit and lead screw for LH rotation,"unit, screw, brush, lead",,,"replace, require",,
4/7/15,,H20,,,St#11 bleeder valve NOK,O-Ring on bleeder replaced. Valve settings on #11 and #12 reset,"station, valve, ring",,broken,"replace, reset","11, 12",
4/7/15,,H21,,,Loose wire in pendant; shutting down machine,Repaired 2 broken wires,"machine, wire, pendant",,"broken, loose",repair,,
4/7/15,,SC11,,,Monitoring Spindle Drive alarm won t clear,Replaced performance module,"spindle, module",,alarm,"replace, clear","drive, won, performance",
4/8/15,,H14,,,Loose fitting on inverter; operator afraid to tighten??,Tensioned fitting,"operator, inverter, fitting",tension,loose,"tighten, tension",,
4/8/15,,H14,,,Inverter push rod will not retract,Pulled Invert valve from H11 (under setup) valve rebuilt,"valve, inverter, rod",,,"rebuild, setup",push,
4/8/15,,H19,,,St# 11 spindle bearings bad,Replaced bearings and returned spindle to H19; Gio,"station, spindle, bearing",,broken,"replace, return",11,
4/8/15,,I1,,,Chip Stripper jammed against conveyor outlet,Adjusted chip stripper location; operational,"conveyor, chip",,jam,adjust,,
4/8/15,,T104,,,Main slide rolls loose / One spindle with R/O,MTS rolls ok / Collet closing roll replaced with AS14 roll but too small ,"spindle, collet, slide",,loose,"replace, ok","main, closing, roll",
4/9/15,,Dreher,,,Broken Dreher clamp,Repaired clamp,clamp,,broken,repair,,
4/9/15,,H1,,,Pendant clamp broken,Clamp repaired,"clamp, pendant",,broken,repair,,
4/9/15,,H14,,,Inverter faulting ST2 fault,Swapped inverter valve with H11,"valve, inverter, st_2",,fault,swap,,
4/9/15,,H20,,,Loader will not insert part into collet,Replaced PLC,"loader, collet, plc",,,replace,,
4/9/15,,H32,,,Bar loader chain broken,Repaired,"loader, chain",,broken,repair,bar,
4/9/15,,I18,,,Track #2 binding; Belt worn,Replaced belt and pulley,"belt, pulley",,worn,replace,track,
4/9/15,,I2,,,Robot arm out of sequence; dropping parts,Slowed rotator,"part, rotator",,"drop, slow",,,
4/9/15,,I6,,,Alarm 1681 servo enable traversing,Encoder coupling replaced,"encoder, servo",,alarm,replace,,
4/9/15,,I6,,,Broken wire on AIM,Soldered wire; Eng required to reboot AIM.,wire,,broken,require,,
4/9/15,,SC5,,,Work zone lingt INOP,Light removed (CD),light,,inoperable,remove,,
4/9/15,,T104,,,Collet closing roll INOP; using AS14 roll,Replaced with Roll and lever from T105,collet,,inoperable,replace,"closing, roll",
4/10/15,,H10,,,Vertical and brushing not in sequence,Replaced bad relay,"brush, relay, vertical",,broken,replace,,
4/10/15,,H33,,,ST#12 threading unit setting will not allow spindles to start,Adjusted return prox ,"station, unit, spindle, prox, thread",,,adjust,"12, returning, start",
4/10/15,,I2,,,Coolant leak side A top of macjine,Loose fittings tightened,"coolant, fitting",,"leak, loose",tighten,,
4/10/15,,Tsch2,,,Alarm 436; C axis soft thermal,Rebuilt Regulating wheel support bearings,"bearing, axis, wheel",,alarm,rebuild,regulating,
4/11/15,,I18,,,Major hydraulic leak at Sp#6 horseshoe,Replaced horseshoe seals,"spindle, hydraulic",,leak,replace,"seal, major",
4/13/15,,FPI,,,Gates and locking latches need repair,Latches ordered and replaced,gate,,,"replace, repair, need, order",locking,
4/13/15,,H33,,,Contactor Overload M20 fault; ,Reset contactor having found nothing wrong with it,contactor,,"fault, overload",reset,,
4/13/15,,H33,,,Brushing unit #12 not stopping when moving forward,Adjusted prox position,"unit, prox, brush, position",,,adjust,"12, stop, forward",
4/13/15,,I20,,,Iemca encoder INOP; opers loading manually,Encoder replaced,"iemca, encoder",,inoperable,replace,load,
4/13/15,,I20,,,Iemca track #3 failing; Channel guides removed ,#3 Track replaced NEW,"iemca, guide, channel",,fail,"replace, remove","new, track",
4/13/15,,I3,,,Side A door support stripped threading; interlock key moves,Threads OK; Loose key tightened.; Operator should have repaired this,"operator, door, interlock, thread, key",,"loose, strip","repair, ok, tighten",move,
4/13/15,,Prab,,,No power at Prab,Replaced fuse FB 300,fuse,,,replace,power,
4/13/15,,TK2,,,Stripped threading on loading robot dog,Threads OK; Replaced screws,"screw, thread, dog",,strip,"replace, ok",load,
4/13/15,,TK4,,,HP oil intake needs to be extended and fixed in place to prevent intake or air,Extended intake and fixed to prevent movement,"air, oil, intake",,,need,hp,
4/14/15,,A76,,,Clamping spool guard broken,Replaced; Operator could have done this!,"operator, clamp, guard",,broken,replace,,
4/14/15,,A78,,,Broken chucking shoe,Replaced chucking shoe; Operator could have done this also!,operator,,broken,replace,,
4/14/15,,H12,,,Exit chute broken,MFG two new exit chutes; one for Gio,chute,,broken,,new,
4/14/15,,H33,,,St#12 Motor overload fault,Replaced motor; Need new or rebuild,"station, motor",,"fault, overload","replace, rebuild, need","new, 12",
4/14/15,,I17,,,Alarm 300504 HS4 Encoder cable issue; Spindle OFF,Replaced encoder on SP #4,"spindle, cable, encoder",,"alarm, issue",replace,,
4/14/15,,I3,,,Transport gripper sensor INOP,Cable to gripper sensor replaced,"sensor, cable, gripper",,inoperable,replace,transport,
4/14/15,,Prab,,,Machine shut down; Will not start,Replaced blown fuse in control panel,"machine, fuse, panel",,blown,replace,"control, shut, start",
4/14/15,,SC4,,,Overload Maindrive Alarm,Main motor replaced,motor,,"alarm, overload",replace,main,
4/14/15,,T98,,,Counter is double counting,Replaced counter,counter,,,replace,,
4/15/15,,A67,,,High speed change shaft worn,Replaced worn shaft and gear,"shaft, gear, speed",,worn,replace,"change, high",
4/15/15,,H24 ,,,Threading unit tripped overload protector,Reset breaker,"unit, breaker, thread",trip,"overload, trip",reset,,
4/15/15,,H5,,,Bar not feeding faults,Increased feeding pressure 1/4 turn,pressure,,fault,,"bar, feeding, turn",
4/15/15,,H5,,,CNC reset selector switch broken,Replaced selector switch; Could have been reset using tablet,"cnc, selector",,broken,"replace, reset",switch,
4/15/15,,I4,,,Turrets INOP; Ready signal not coming up,Swapped Performance modules; Bad cable found and replaced.,"cable, turret, module",,"broken, inoperable","replace, swap","ready, performance",
4/15/15,,TK4,,,High pressure coolant leak / foaming oil,Replaced HP coolant feed line,"coolant, pressure, oil, line",,leak,replace,"feed, hp, high",
4/15/15,,TK4,,,Air in oil,Lowered oil feed line into oil !!,"air, oil, line",,,,feed,
4/15/15,,Tsch2,,,Shuttle slide will not home,Motor replaced for actuator; Borrowed from D26035 loader,"motor, loader, actuator, slide",,,replace,home,
4/16/15,,H19,,,Loader INOP / Major hydraulic leak,Broken ferule on line that feeds the table / Oil drained from machine and replaced with fresh Nucut Lite,"hydraulic, table, machine, loader, oil, line",drain,"broken, inoperable, leak",replace,"major, drain",
4/16/15,,H33,,,St#12 brushing unit stuck forward,Over torque switch was loose causing unit to fail as soon as it started. Also loose sensor. All were tensioned and set.,"station, unit, sensor, brush",tension,"loose, stuck, fail","set, tension","switch, 12, forward",causing
4/16/15,,H34,,,Brushing unit stuck forward   ,Replaced prox chord and repaired damaged threading on lead screw,"unit, screw, prox, brush, thread, lead",,"broken, stuck","replace, repair",forward,
4/16/15,,H5,,,Bottom XD bad bearings,Replaced bottom XD with rebuilt unit; Bad unit to be rebuilt,"unit, bearing, cross_drill",,broken,"replace, rebuild",,
4/16/15,,I5,,,Track #2 will not load in Auto,Replaced Track #2 and Track #4,,,,replace,"track, load, auto",
4/16/15,,TK3,,,No coolant flow; Pump not turning on,No control voltage to pump. Recycled power to machine and pump worked.  ??,"coolant, machine, pump, flow",,,,"power, control",
4/17/15,,H18,,,St#4 drill detector INOP,Replaced bad drill detector,"station, drill, detector",,"broken, inoperable",replace,,
4/17/15,,H27,,,Top XD head St#7 needs to be replaced,Replaced with rebuilt unit; Unit removed submitted for rebuild,"station, unit, head, cross_drill",,,"replace, remove, rebuild, need",,
4/17/15,,H34,,,St#5 brushing unit overtime faults,Damaged lead screw repaired; Brass ring,"station, unit, screw, brush, lead, ring",,"broken, fault",repair,overtime,
4/17/15,,I1,,,Offload conveyor INOP,Replaced guides that had fallen from tracking,"conveyor, offload, guide",,inoperable,replace,track,
4/17/15,,I19,,,Short in cable for sensor to facing travel flag (Iemca),Cable for sensor replaced,"sensor, cable, iemca, flag",,short,replace,"travel, facing",
4/20/15,,Dreher,,,Replace plug and connector on new Dreher,Completed    ,connector,,,"replace, complete","new, plug",
4/20/15,,H1,,,Pendant bracket needs to be replaced,Repaired,"pendant, bracket",,,"replace, repair, need",,
4/20/15,,H5,,,St#7 Indexer has no power,Blown fuse replaced,"station, index, fuse",,blown,replace,power,
4/20/15,,H8,,,St#4 not cutting / Squeeling sound,Loose drive pulley tightened; Operator should have taken care of this!!,"station, operator, pulley",,loose,tighten,"drive, cutting",
4/20/15,,I5,,,Major hyd leak at St#4 Actuator,Replaced seals in #4 horseshoe,"station, hydraulic, actuator",,leak,replace,"seal, major",
4/20/15,,Sinico,,,Door will not lock,Repaired loose interlock key; Operator should have taken care of this!!,"operator, door, interlock, key",,loose,repair,lock,
4/20/15,,Sinico,,,Door lock INOP,Tightened loose screws,"screw, door",,"inoperable, loose",tighten,lock,
